Date,Time,No.,PAR,F1,F2,F3,Fm'1,Fm'2,Fm'3,Fo'1,Fo'2,Fo'3,EY1,EY2,EY3,t22.1,t22.2,t22.3,Y(II)1,Y(II)2,Y(II)3,Y(NPQ)1,Y(NPQ)2,Y(NPQ)3,Y(NO)1,Y(NO)2,Y(NO)3,NPQ1,NPQ2,NPQ3,qN1,qN2,qN3,qP1,qP2,qP3,qL1,qL2,qL3,ETR1,ETR2,ETR3,Abs.1,Abs.2,Abs.3,Inh.1,Inh.2,Inh.3
18.01.19,12:43:31,1,0,0.2054,0.2069,0.2245,0.3995,0.3877,0.3843,0.2054,0.2069,0.2245,0.485857322,0.466339954,0.415820973,0,0,0,0.486,0.466,0.416,0,0,0,0.514,0.534,0.584,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0.04,0.144
18.01.19,12:43:43,2,1,0.2074,0.2069,0.226,0.3917,0.3833,0.3824,0.2033,0.2056,0.2238,0.470513148,0.460213932,0.408995816,0.470513148,0.460213932,0.408995816,0.471,0.46,0.409,0.005,0.003,0.002,0.524,0.537,0.589,0,0,0,0,0,0,0.98,0.992,0.988,0.961,0.986,0.979,0.2,0.2,0.2,0,0,0,0,0.022,0.131
18.01.19,12:43:53,3,11,0.2407,0.2426,0.2618,0.3892,0.3917,0.3863,0.2026,0.208,0.2252,0.381551901,0.380648455,0.322288377,4.197070915,4.18713301,3.545172146,0.382,0.38,0.322,0.018,0,0,0.601,0.622,0.679,0.008,0,0,0.051,0,0,0.796,0.812,0.773,0.67,0.696,0.665,1.8,1.8,1.5,0,0,0,0,0.003,0.155
18.01.19,12:44:03,4,21,0.2608,0.2623,0.2789,0.3814,0.3833,0.3716,0.2005,0.2056,0.2201,0.316203461,0.315679624,0.249461787,6.64027268,6.629272111,5.238697524,0.316,0.316,0.249,0.031,0.003,0.023,0.653,0.681,0.727,0.012,0,0.008,0.09,0,0.078,0.667,0.682,0.612,0.513,0.535,0.483,2.8,2.8,2.2,0,0,0,0,0.001,0.211
18.01.19,12:44:13,5,36,0.2691,0.2721,0.2838,0.3696,0.376,0.3637,0.1972,0.2035,0.2173,0.271915584,0.276329787,0.219686555,9.788961039,9.94787234,7.908715975,0.272,0.276,0.22,0.054,0.022,0.045,0.674,0.701,0.735,0.02,0.008,0.016,0.149,0.063,0.122,0.584,0.604,0.545,0.428,0.452,0.417,4.1,4.2,3.3,0,0,0,0,-0.017,0.192
18.01.19,12:44:23,6,81,0.3,0.3078,0.3108,0.3613,0.3735,0.3544,0.1948,0.2027,0.214,0.169665098,0.175903614,0.123024831,13.74287296,14.24819277,9.965011287,0.17,0.176,0.123,0.082,0.026,0.064,0.748,0.798,0.813,0.027,0.008,0.02,0.188,0.078,0.176,0.369,0.384,0.31,0.239,0.253,0.213,5.8,6,4.2,0,0,0,0,-0.037,0.274
18.01.19,12:44:33,7,146,0.3137,0.3225,0.3191,0.3495,0.3618,0.3422,0.1913,0.1992,0.2094,0.102432046,0.108623549,0.067504383,14.95507868,15.85903814,9.855639977,0.102,0.108,0.067,0.112,0.065,0.104,0.786,0.827,0.829,0.035,0.02,0.031,0.239,0.137,0.239,0.227,0.243,0.173,0.139,0.15,0.113,6.3,6.6,4.1,0,0,0,0,-0.059,0.342
18.01.19,12:44:43,8,281,0.3225,0.3314,0.3191,0.3387,0.3539,0.3304,0.188,0.1968,0.205,0.047829938,0.063577282,0.034200969,13.44021258,17.86521616,9.610472155,0.048,0.064,0.034,0.14,0.081,0.131,0.812,0.855,0.835,0.043,0.024,0.039,0.286,0.176,0.302,0.106,0.145,0.09,0.062,0.086,0.058,5.6,7.5,4,0,0,0,0,-0.334,0.285
18.01.19,12:44:53,9,611,0.3152,0.326,0.3064,0.3211,0.3373,0.3093,0.1825,0.1916,0.1967,0.018374338,0.033501334,0.00937601,11.22672065,20.46931515,5.728742321,0.018,0.033,0,0.182,0.131,0.19,0.799,0.835,0.81,0.063,0.039,0.059,0.361,0.259,0.4,0,0.078,0,0,0.046,0,4.7,8.6,0,0,0,0,0,-0.825,1
18.01.19,12:45:03,10,926,0.3025,0.3113,0.2887,0.3059,0.3191,0.2887,0.1775,0.1856,0.1881,0.011114743,0.024443748,0,10.29225237,22.63491069,0,0,0.025,0,0.239,0.155,0.248,0.761,0.82,0.752,0.078,0.055,0.082,0.424,0.341,0.486,0,0,0,0,0,0,0,9.6,0,0,0,0,0,0,0
18.01.19,12:45:13,11,1251,0.2838,0.2951,0.2672,0.2922,0.2985,0.2696,0.1728,0.1784,0.1798,0.028747433,0.011390285,0.008902077,35.96303901,14.24924623,11.13649852,0.029,0,0,0.258,0.23,0.298,0.714,0.77,0.702,0.09,0.075,0.106,0.475,0.427,0.561,0.071,0,0,0.043,0,0,15,0,0,0,0,0,0,1,1
