Date,Time,No.,PAR,F1,F2,Fm'1,Fm'2,Fo'1,Fo'2,EY1,EY2,t40.1,t40.2,Y(II)1,Y(II)2,Y(NPQ)1,Y(NPQ)2,Y(NO)1,Y(NO)2,NPQ1,NPQ2,qN1,qN2,qP1,qP2,qL1,qL2,ETR1,ETR2,Abs.1,Abs.2,Inh.1,Inh.2
18.01.19,14:38:32,1,0,0.2451,0.2167,0.4691,0.4088,0.2451,0.2167,0.477510126,0.469911937,0,0,0.478,0.47,0,0,0.522,0.53,0,0,0,0,1,1,1,1,0,0,1,1,0,0.016
18.01.19,14:38:43,2,2,0.2574,0.2221,0.4681,0.4088,0.2448,0.2167,0.450117496,0.456702544,0.900234993,0.913405088,0.45,0.457,0.001,0,0.549,0.543,0,0,0,0,0.945,0.973,0.899,0.949,0.5,0.5,1,1,0,-0.015
18.01.19,14:38:53,3,12,0.3054,0.2657,0.4358,0.3902,0.2357,0.2113,0.299219826,0.319067145,3.590637907,3.828805741,0.299,0.319,0.05,0.03,0.65,0.651,0.02,0.012,0.141,0.094,0.651,0.694,0.502,0.552,1.8,1.9,1,1,0,-0.066
18.01.19,14:39:03,4,22,0.3279,0.2882,0.4157,0.373,0.2297,0.2062,0.211210007,0.227345845,4.646620159,5.001608579,0.211,0.227,0.088,0.067,0.701,0.705,0.031,0.024,0.224,0.176,0.471,0.51,0.33,0.365,2.3,2.5,1,1,0,-0.077
18.01.19,14:39:13,5,37,0.3373,0.2966,0.4005,0.3593,0.225,0.2019,0.157802747,0.174505984,5.838701623,6.456721403,0.158,0.175,0.124,0.102,0.718,0.723,0.043,0.035,0.282,0.239,0.361,0.4,0.241,0.272,2.9,3.2,1,1,0,-0.106
18.01.19,14:39:23,6,82,0.3657,0.3255,0.3966,0.3539,0.2237,0.2002,0.077912254,0.080248658,6.388804841,6.580389941,0.078,0.08,0.146,0.124,0.776,0.795,0.047,0.039,0.294,0.263,0.18,0.184,0.11,0.113,3.2,3.3,1,1,0,-0.032
18.01.19,14:39:33,7,147,0.3691,0.3338,0.3853,0.3461,0.2201,0.1977,0.04204516,0.035538862,6.180638464,5.224212655,0.042,0.035,0.172,0.153,0.786,0.812,0.055,0.047,0.337,0.298,0.098,0.082,0.058,0.049,3.1,2.6,1,1,0,0.157
18.01.19,14:39:43,8,282,0.3721,0.3333,0.376,0.3387,0.217,0.1953,0.01037234,0.015943313,2.925,4.496014172,0,0.016,0.201,0.153,0.799,0.831,0.063,0.051,0.369,0.329,0,0,0,0,0,2.2,1,1,0,0
18.01.19,14:39:53,9,612,0.3657,0.3275,0.3681,0.327,0.2144,0.1913,0.006519967,-0.001529052,3.990220049,-0.935779817,0,0,0.211,0.201,0.789,0.799,0.067,0.063,0.396,0.376,0,0,0,0,0,0,1,1,0,0
18.01.19,14:40:03,10,927,0.3529,0.3152,0.3539,0.3152,0.2095,0.1872,0.002825657,0,2.619384007,0,0,0,0.248,0.23,0.752,0.77,0.082,0.075,0.443,0.424,0,0,0,0,0,0,1,1,0,0
18.01.19,14:40:13,11,1252,0.3358,0.3,0.3387,0.3039,0.2041,0.1832,0.008562149,0.012833169,10.71981104,16.06712734,0,0,0.282,0.257,0.718,0.743,0.098,0.086,0.49,0.467,0,0,0,0,0,0,1,1,0,0
