Date,Time,No.,PAR,F1,F2,F3,Fm'1,Fm'2,Fm'3,Fo'1,Fo'2,Fo'3,EY1,EY2,EY3,t25.1,t25.2,t25.3,Y(II)1,Y(II)2,Y(II)3,Y(NPQ)1,Y(NPQ)2,Y(NPQ)3,Y(NO)1,Y(NO)2,Y(NO)3,NPQ1,NPQ2,NPQ3,qN1,qN2,qN3,qP1,qP2,qP3,qL1,qL2,qL3,ETR1,ETR2,ETR3,Abs.1,Abs.2,Abs.3,Inh.1,Inh.2,Inh.3
18.01.19,14:43:47,1,0,0.2299,0.2093,0.1819,0.3613,0.3882,0.2971,0.2299,0.2093,0.1819,0.363686687,0.460844925,0.387748233,0,0,0,0.364,0.461,0.388,0,0,0,0.636,0.539,0.612,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,-0.267,-0.066
18.01.19,14:43:58,2,3,0.2314,0.2137,0.1863,0.3603,0.3868,0.2966,0.2295,0.2089,0.1817,0.357757424,0.447518097,0.371881322,1.073272273,1.342554292,1.115643965,0.358,0.447,0.372,0,0.001,0.001,0.642,0.552,0.628,0,0,0,0,0,0,0.984,0.973,0.961,0.976,0.951,0.937,0.5,0.7,0.6,1,1,1,0,-0.25,-0.039
18.01.19,14:44:08,3,13,0.2931,0.2495,0.225,0.3569,0.3755,0.2902,0.2281,0.2056,0.1793,0.178761558,0.335552597,0.22467264,2.323900252,4.362183755,2.920744314,0.179,0.336,0.225,0.002,0.021,0.004,0.82,0.644,0.771,0,0.008,0,0,0.071,0,0.494,0.741,0.588,0.385,0.611,0.469,1.2,2.2,1.5,1,1,1,0,-0.879,-0.258
18.01.19,14:44:18,4,23,0.3108,0.2701,0.2397,0.3466,0.3583,0.277,0.2239,0.2003,0.1741,0.103289094,0.246162434,0.13465704,2.375649163,5.661735975,3.097111913,0.103,0.246,0.135,0.039,0.055,0.062,0.857,0.699,0.804,0.012,0.02,0.02,0.106,0.161,0.165,0.29,0.557,0.361,0.209,0.413,0.262,1.2,2.8,1.5,1,1,1,0,-1.385,-0.303
18.01.19,14:44:28,5,38,0.3108,0.2775,0.2417,0.3373,0.3471,0.2711,0.2199,0.1967,0.1718,0.078565076,0.200518583,0.108447068,2.985472873,7.619706137,4.120988565,0.078,0.201,0.108,0.067,0.088,0.077,0.854,0.711,0.814,0.02,0.031,0.024,0.169,0.216,0.208,0.227,0.463,0.298,0.161,0.328,0.212,1.5,3.8,2.1,1,1,1,0,-1.555,-0.382
18.01.19,14:44:38,6,83,0.3225,0.3044,0.252,0.3279,0.3373,0.2632,0.2159,0.1935,0.1686,0.016468435,0.097539283,0.042553191,1.366880146,8.095760451,3.531914894,0.016,0.097,0.043,0.07,0.122,0.106,0.914,0.781,0.851,0.024,0.039,0.031,0.227,0.263,0.263,0,0.227,0.118,0,0.145,0.079,0.7,4,1.8,1,1,1,0,-4.923,-1.605
18.01.19,14:44:48,7,148,0.3176,0.3108,0.2539,0.3186,0.323,0.2539,0.2119,0.1888,0.1647,0.003138732,0.037770898,0,0.464532329,5.590092879,0,0,0.038,0,0.124,0.163,0.147,0.876,0.8,0.853,0.035,0.051,0.043,0.286,0.325,0.325,0,0.09,0,0,0.055,0,0,2.8,0,1,1,1,0,0,0
18.01.19,14:44:58,8,283,0.3142,0.3127,0.25,0.3098,0.3172,0.2471,0.2079,0.1867,0.1618,-0.014202711,0.014186633,-0.011736139,-4.019367334,4.01481715,-3.321327398,0,0.014,0,0.147,0.166,0.169,0.853,0.82,0.831,0.043,0.055,0.051,0.337,0.353,0.369,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0
18.01.19,14:45:08,9,613,0.2971,0.3054,0.2402,0.2931,0.3049,0.2373,0.2003,0.1824,0.1575,-0.013647219,-0.001639882,-0.012220818,-8.365745479,-1.005247622,-7.491361146,0,0,0,0.19,0.211,0.201,0.81,0.789,0.799,0.059,0.067,0.063,0.424,0.404,0.427,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
18.01.19,14:45:18,10,928,0.2775,0.2931,0.2265,0.2711,0.2956,0.2294,0.1897,0.1791,0.1541,-0.023607525,0.008457375,0.012641674,-21.90778311,7.848443843,11.73147341,0,0,0,0.248,0.239,0.23,0.752,0.761,0.77,0.082,0.078,0.075,0.525,0.443,0.475,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
18.01.19,14:45:28,11,1253,0.2544,0.2799,0.2152,0.2559,0.2799,0.2132,0.1822,0.1732,0.1466,0.005861665,0,-0.009380863,7.344665885,0,-11.75422139,0,0,0,0.29,0.282,0.282,0.71,0.718,0.718,0.102,0.098,0.098,0.588,0.502,0.557,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
