Date,Time,No.,PAR,F1,F2,F3,Fm'1,Fm'2,Fm'3,Fo'1,Fo'2,Fo'3,EY1,EY2,EY3,t11.1,t11.2,t11.3,Y(II)1,Y(II)2,Y(II)3,Y(NPQ)1,Y(NPQ)2,Y(NPQ)3,Y(NO)1,Y(NO)2,Y(NO)3,NPQ1,NPQ2,NPQ3,qN1,qN2,qN3,qP1,qP2,qP3,qL1,qL2,qL3,ETR1,ETR2,ETR3,Abs.1,Abs.2,Abs.3,Inh.1,Inh.2,Inh.3
18.01.19,15:13:06,1,0,0.2544,0.2304,0.2284,0.4583,0.4495,0.4191,0.2544,0.2304,0.2284,0.444905084,0.487430478,0.455022668,0,0,0,0.445,0.487,0.455,0,0,0,0.555,0.513,0.545,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,-0.096,-0.023
18.01.19,15:13:18,2,2,0.2544,0.2294,0.2289,0.4569,0.4471,0.4211,0.254,0.2297,0.229,0.443204202,0.486915679,0.456423652,0.886408404,0.973831358,0.912847305,0.443,0.487,0.456,0,0.001,0,0.556,0.513,0.545,0,0,0,0,0,0,0.996,1,1,0.994,1,1,0.4,0.5,0.5,1,1,1,0,-0.099,-0.03
18.01.19,15:13:28,3,12,0.2887,0.2623,0.2554,0.4618,0.452,0.4221,0.2555,0.231,0.2293,0.374837592,0.419690265,0.394930111,4.498051104,5.036283186,4.739161336,0.375,0.42,0.395,0,0,0,0.627,0.582,0.607,0,0,0,0,0,0,0.839,0.859,0.863,0.743,0.757,0.775,2.2,2.5,2.4,1,1,1,0,-0.12,-0.054
18.01.19,15:13:38,4,22,0.3167,0.2902,0.2809,0.4544,0.448,0.4142,0.2532,0.23,0.227,0.303036972,0.352232143,0.321825205,6.66681338,7.749107143,7.080154515,0.303,0.352,0.322,0.002,0.001,0.003,0.695,0.646,0.675,0,0,0,0,0,0,0.686,0.725,0.714,0.549,0.575,0.577,3.3,3.9,3.5,1,1,1,0,-0.162,-0.062
18.01.19,15:13:48,5,37,0.3299,0.3088,0.2922,0.4466,0.4373,0.4044,0.2507,0.2271,0.224,0.261307658,0.293848617,0.277448071,9.668383341,10.87239881,10.26557864,0.261,0.294,0.278,0.022,0.021,0.023,0.717,0.685,0.699,0.008,0.008,0.008,0.055,0.055,0.075,0.596,0.612,0.624,0.453,0.45,0.478,4.8,5.4,5.1,1,1,1,0,-0.124,-0.062
18.01.19,15:13:58,6,82,0.3681,0.3593,0.325,0.4377,0.4304,0.3971,0.2479,0.2253,0.2217,0.159013023,0.165195167,0.181566356,13.03906785,13.54600372,14.8884412,0.159,0.165,0.181,0.038,0.037,0.048,0.803,0.798,0.771,0.012,0.012,0.016,0.098,0.086,0.11,0.369,0.345,0.412,0.248,0.216,0.281,6.5,6.8,7.4,1,1,1,0,-0.039,-0.141
18.01.19,15:14:08,7,147,0.3868,0.376,0.3451,0.4309,0.4186,0.3863,0.2457,0.222,0.2183,0.102343931,0.101767797,0.10665286,15.0445579,14.95986622,15.67797049,0.102,0.102,0.107,0.053,0.064,0.066,0.844,0.834,0.827,0.016,0.02,0.02,0.129,0.137,0.165,0.239,0.216,0.247,0.152,0.127,0.156,7.5,7.5,7.8,1,1,1,0,0.005,-0.041
18.01.19,15:14:18,8,282,0.3917,0.3868,0.3525,0.4127,0.4044,0.374,0.2397,0.2179,0.2143,0.05088442,0.043521266,0.057486631,14.34940635,12.27299703,16.21122995,0.051,0.044,0.058,0.094,0.094,0.104,0.855,0.862,0.838,0.027,0.027,0.031,0.208,0.196,0.22,0.122,0.094,0.133,0.074,0.053,0.081,7.2,6.2,8.1,1,1,1,0,0.146,-0.129
18.01.19,15:14:28,9,612,0.3912,0.3804,0.351,0.3961,0.3858,0.3574,0.234,0.2124,0.2088,0.012370613,0.01399689,0.017907107,7.570815451,8.566096423,10.95914941,0.012,0.014,0.018,0.123,0.133,0.129,0.864,0.853,0.853,0.039,0.043,0.043,0.278,0.271,0.294,0,0,0,0,0,0,3.8,4.3,5.5,1,1,1,0,-0.129,-0.441
18.01.19,15:14:38,10,927,0.3706,0.3598,0.3314,0.373,0.3618,0.3368,0.2258,0.2049,0.2016,0.006434316,0.005527916,0.016033254,5.96461126,5.124378109,14.8628266,0,0,0.016,0.19,0.19,0.185,0.81,0.81,0.799,0.059,0.059,0.063,0.369,0.357,0.38,0,0,0,0,0,0,0,0,7.4,1,1,1,0,0,0
18.01.19,15:14:48,11,1252,0.3431,0.3353,0.3093,0.3446,0.3407,0.3108,0.215,0.198,0.192,0.004352873,0.015849721,0.004826255,5.449796866,19.8438509,6.042471042,0,0.016,0,0.248,0.223,0.257,0.752,0.761,0.743,0.082,0.078,0.086,0.467,0.431,0.478,0,0,0,0,0,0,0,9.9,0,1,1,1,0,0,0
