Date,Time,No.,PAR,F1,F2,F3,Fm'1,Fm'2,Fm'3,Fo'1,Fo'2,Fo'3,Y(II)1,Y(II)2,Y(II)3,Y(NPQ)1,Y(NPQ)2,Y(NPQ)3,Y(NO)1,Y(NO)2,Y(NO)3,NPQ1,NPQ2,NPQ3,qN1,qN2,qN3,qP1,qP2,qP3,qL1,qL2,qL3,ETR1,ETR2,ETR3,Abs.1,Abs.2,Abs.3,Inh.1,Inh.2,Inh.3
23.01.19,13:33:11,1,0,0.2559,0.227,0.2299,0.6103,0.5127,0.5446,0.2559,0.227,0.2299,0.581,0.557,0.578,0,0,0,0.419,0.443,0.422,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0.04,0.005
23.01.19,13:33:23,2,2,0.2676,0.2358,0.2397,0.6098,0.5078,0.5387,0.2558,0.226,0.2288,0.561,0.536,0.555,0,0.002,0.003,0.439,0.462,0.442,0,0,0,0,0,0,0.965,0.965,0.965,0.922,0.925,0.921,0.6,0.5,0.6,1,1,1,0,0.045,0.011
23.01.19,13:33:32,3,12,0.2966,0.2598,0.2627,0.6005,0.5044,0.5338,0.2541,0.2253,0.228,0.506,0.485,0.508,0.008,0.008,0.009,0.486,0.507,0.483,0.004,0.004,0.004,0.027,0.027,0.035,0.878,0.875,0.886,0.753,0.758,0.769,3,2.9,3,1,1,1,0,0.042,-0.003
23.01.19,13:33:42,4,22,0.3314,0.2966,0.3005,0.5902,0.4931,0.524,0.2523,0.223,0.2262,0.439,0.399,0.427,0.017,0.026,0.024,0.544,0.575,0.55,0.008,0.012,0.012,0.055,0.067,0.063,0.765,0.729,0.749,0.582,0.549,0.564,4.8,4.4,4.7,1,1,1,0,0.091,0.027
23.01.19,13:33:53,5,37,0.3471,0.3103,0.3172,0.5765,0.4833,0.5093,0.2497,0.221,0.2234,0.398,0.358,0.377,0.035,0.037,0.038,0.567,0.605,0.585,0.016,0.016,0.016,0.094,0.102,0.11,0.702,0.659,0.671,0.505,0.469,0.472,7.4,6.6,7,1,1,1,0,0.1,0.052
23.01.19,13:34:03,6,82,0.4284,0.3667,0.3828,0.5657,0.4657,0.4956,0.2477,0.2172,0.2207,0.243,0.213,0.227,0.055,0.069,0.068,0.702,0.718,0.705,0.02,0.024,0.024,0.122,0.161,0.153,0.431,0.4,0.412,0.249,0.237,0.237,9.9,8.7,9.3,1,1,1,0,0.124,0.062
23.01.19,13:34:13,7,147,0.4721,0.3951,0.4181,0.5515,0.4539,0.4833,0.2449,0.2146,0.2182,0.144,0.13,0.135,0.084,0.098,0.097,0.772,0.772,0.768,0.027,0.031,0.031,0.161,0.196,0.188,0.259,0.247,0.247,0.134,0.134,0.129,10.6,9.5,9.9,1,1,1,0,0.1,0.063
23.01.19,13:34:23,8,337,0.5029,0.4167,0.4451,0.5279,0.4358,0.4627,0.2402,0.2105,0.2139,0.047,0.044,0.038,0.129,0.141,0.142,0.824,0.815,0.82,0.039,0.043,0.043,0.224,0.255,0.247,0.086,0.086,0.071,0.041,0.044,0.034,8,7.4,6.4,1,1,1,0,0.074,0.195
23.01.19,13:34:33,9,612,0.5025,0.4152,0.4426,0.5025,0.4142,0.4431,0.2348,0.2053,0.2096,0,0,0,0.18,0.19,0.19,0.82,0.81,0.81,0.055,0.059,0.059,0.286,0.322,0.302,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
23.01.19,13:34:43,10,927,0.4755,0.3926,0.4176,0.4745,0.3912,0.4162,0.2285,0.1995,0.2034,0,0,0,0.22,0.239,0.239,0.78,0.761,0.761,0.071,0.078,0.078,0.357,0.388,0.376,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
23.01.19,13:34:53,11,1252,0.451,0.3745,0.3956,0.448,0.3696,0.3926,0.2222,0.1937,0.1976,0,0,0,0.265,0.282,0.282,0.735,0.718,0.718,0.09,0.098,0.098,0.42,0.447,0.439,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
