Date,Time,No.,PAR,F1,F2,Fm'1,Fm'2,Fo'1,Fo'2,EY1,EY2,t32.1,t32.2,Y(II)1,Y(II)2,Y(NPQ)1,Y(NPQ)2,Y(NO)1,Y(NO)2,NPQ1,NPQ2,qN1,qN2,qP1,qP2,qL1,qL2,ETR1,ETR2,Abs.1,Abs.2,Inh.1,Inh.2
18.01.19,15:41:23,1,0,0.2593,0.2343,0.5005,0.4701,0.2593,0.2343,0.481918082,0.501595405,0,0,0.482,0.502,0,0,0.518,0.498,0,0,0,0,1,1,1,1,0,0,1,1,0,-0.041
18.01.19,15:41:34,2,1,0.2696,0.2397,0.499,0.4711,0.2589,0.2346,0.459719439,0.49119083,0.459719439,0.49119083,0.46,0.491,0.001,0,0.539,0.51,0,0,0,0,0.957,0.976,0.919,0.955,0.2,0.2,1,1,0,-0.068
18.01.19,15:41:44,3,11,0.2882,0.2564,0.4936,0.4657,0.2575,0.2332,0.416126418,0.449430964,4.5773906,4.943740606,0.416,0.449,0.004,0.003,0.58,0.548,0,0,0,0,0.871,0.902,0.778,0.82,2.3,2.5,1,1,0,-0.08
18.01.19,15:41:54,4,21,0.3034,0.2667,0.4863,0.4559,0.2554,0.2307,0.376105285,0.41500329,7.898210981,8.715069094,0.376,0.415,0.019,0.017,0.605,0.568,0.008,0.008,0.059,0.059,0.792,0.839,0.667,0.726,3.9,4.4,1,1,0,-0.104
18.01.19,15:42:04,5,36,0.3069,0.2701,0.4716,0.4436,0.2513,0.2275,0.349236641,0.391118124,12.57251908,14.08025248,0.349,0.391,0.038,0.036,0.612,0.573,0.016,0.016,0.118,0.11,0.749,0.804,0.613,0.677,6.3,7,1,1,0,-0.12
18.01.19,15:42:14,6,81,0.3466,0.3083,0.4632,0.4304,0.2489,0.224,0.251727116,0.283689591,20.38989637,22.97885688,0.252,0.284,0.055,0.062,0.693,0.655,0.02,0.024,0.149,0.161,0.545,0.592,0.392,0.43,10.2,11.5,1,1,0,-0.126
18.01.19,15:42:24,7,146,0.373,0.3377,0.4578,0.424,0.2474,0.2223,0.185233727,0.203537736,27.04412407,29.71650943,0.185,0.203,0.07,0.079,0.744,0.718,0.024,0.027,0.169,0.184,0.404,0.427,0.268,0.281,13.5,14.9,1,1,0,-0.098
18.01.19,15:42:34,8,281,0.3922,0.3569,0.4392,0.4029,0.2418,0.2163,0.10701275,0.114172251,30.07058288,32.08240258,0.107,0.114,0.111,0.13,0.782,0.756,0.035,0.043,0.235,0.263,0.239,0.247,0.148,0.15,15.1,16.1,1,1,0,-0.067
18.01.19,15:42:44,9,611,0.3971,0.3613,0.4181,0.3892,0.2353,0.2123,0.050227218,0.071685509,30.68883042,43.79984584,0.05,0.072,0.16,0.157,0.79,0.771,0.051,0.051,0.31,0.314,0.114,0.157,0.067,0.092,15.4,21.9,1,1,0,-0.424
18.01.19,15:42:54,10,926,0.3809,0.3485,0.3917,0.3598,0.2267,0.2033,0.027572122,0.031406337,25.53178453,29.08226793,0.028,0.031,0.214,0.231,0.758,0.738,0.071,0.078,0.396,0.412,0.067,0.071,0.04,0.041,12.7,14.5,1,1,0,-0.138
18.01.19,15:43:04,11,1251,0.3583,0.3314,0.3676,0.3368,0.2184,0.1957,0.025299238,0.016033254,31.64934712,20.05760095,0.025,0.016,0.259,0.266,0.716,0.718,0.09,0.098,0.471,0.486,0.063,0,0.038,0,15.8,10,1,1,0,0.368
