Date,Time,No.,PAR,F1,F2,F3,Fm'1,Fm'2,Fm'3,Fo'1,Fo'2,Fo'3,EY1,EY2,EY3,t24.1,t24.2,t24.3,Y(II)1,Y(II)2,Y(II)3,Y(NPQ)1,Y(NPQ)2,Y(NPQ)3,Y(NO)1,Y(NO)2,Y(NO)3,NPQ1,NPQ2,NPQ3,qN1,qN2,qN3,qP1,qP2,qP3,qL1,qL2,qL3,ETR1,ETR2,ETR3,Abs.1,Abs.2,Abs.3,Inh.1,Inh.2,Inh.3
18.01.19,12:06:39,1,0,0.3569,0.2819,0.3338,0.577,0.4392,0.4892,0.3569,0.2819,0.3338,0.381455806,0.358151184,0.317661488,0,0,0,0.381,0.358,0.318,0,0,0,0.619,0.642,0.682,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0.061,0.167
18.01.19,12:06:50,2,1,0.3583,0.2833,0.3348,0.5814,0.4387,0.4892,0.3585,0.2817,0.3338,0.38372893,0.354228402,0.315617334,0.38372893,0.354228402,0.315617334,0.384,0.354,0.316,0,0,0,0.619,0.646,0.685,0,0,0,0,0,0,1,0.988,0.992,1,0.982,0.989,0.2,0.2,0.2,1,1,1,0,0.077,0.177
18.01.19,12:07:00,3,11,0.3922,0.3118,0.3652,0.5877,0.4549,0.4975,0.361,0.2882,0.3377,0.332652714,0.314574632,0.265929648,3.659179854,3.46032095,2.925226131,0.333,0.315,0.266,0,0,0,0.671,0.693,0.737,0,0,0,0,0,0,0.863,0.859,0.827,0.794,0.794,0.765,1.8,1.7,1.5,1,1,1,0,0.054,0.201
18.01.19,12:07:10,4,21,0.4098,0.3275,0.3819,0.5853,0.4466,0.4956,0.36,0.2849,0.3368,0.299846233,0.266681594,0.229418886,6.296770887,5.60031348,4.81779661,0.3,0.267,0.229,0,0,0,0.703,0.736,0.772,0,0,0,0,0,0,0.78,0.737,0.718,0.686,0.641,0.633,3.1,2.8,2.4,1,1,1,0,0.11,0.235
18.01.19,12:07:20,5,36,0.4186,0.3343,0.3843,0.574,0.4358,0.4833,0.3557,0.2804,0.3311,0.270731707,0.232905002,0.204841713,9.746341463,8.384580083,7.374301676,0.271,0.233,0.205,0.002,0.002,0.002,0.728,0.765,0.793,0,0,0,0,0,0,0.714,0.655,0.651,0.606,0.549,0.561,4.9,4.2,3.7,1,1,1,0,0.14,0.243
18.01.19,12:07:30,6,81,0.4623,0.3637,0.4113,0.5667,0.4255,0.4721,0.3529,0.2761,0.3257,0.184224457,0.145240893,0.128786274,14.92218105,11.76451234,10.4316882,0.184,0.145,0.129,0.013,0.026,0.027,0.802,0.829,0.844,0.004,0.008,0.008,0.047,0.082,0.106,0.49,0.412,0.416,0.374,0.313,0.329,7.5,5.9,5.2,1,1,1,0,0.212,0.301
18.01.19,12:07:40,7,146,0.4799,0.3711,0.4181,0.5466,0.4113,0.4544,0.345,0.2701,0.3172,0.122027076,0.097738877,0.079885563,17.81595317,14.269876,11.66329225,0.122,0.098,0.08,0.051,0.054,0.066,0.827,0.848,0.854,0.016,0.016,0.02,0.129,0.165,0.204,0.329,0.286,0.263,0.237,0.208,0.199,8.9,7.1,5.8,1,1,1,0,0.199,0.346
18.01.19,12:07:50,8,281,0.4873,0.3755,0.4162,0.527,0.3971,0.4387,0.3371,0.2639,0.3095,0.075332068,0.054394359,0.051287896,21.1683112,15.28481491,14.41189879,0.075,0.054,0.051,0.079,0.093,0.095,0.845,0.853,0.854,0.024,0.027,0.027,0.208,0.239,0.282,0.208,0.161,0.176,0.144,0.113,0.131,10.6,7.6,7.2,1,1,1,0,0.279,0.318
18.01.19,12:08:00,9,611,0.4838,0.3642,0.4044,0.4995,0.3745,0.4127,0.3256,0.2537,0.2964,0.031431431,0.027503338,0.020111461,19.2046046,16.80453939,12.28810274,0.031,0.027,0.02,0.131,0.143,0.155,0.837,0.829,0.825,0.039,0.043,0.047,0.31,0.349,0.396,0.09,0.086,0.071,0.061,0.06,0.052,9.6,8.4,6.2,1,1,1,0,0.125,0.357
18.01.19,12:08:10,10,926,0.4598,0.3461,0.3833,0.4716,0.3505,0.3907,0.3135,0.2425,0.2848,0.025021204,0.012553495,0.018940363,23.16963528,11.62453638,17.53877655,0.025,0.013,0.019,0.176,0.188,0.182,0.799,0.799,0.799,0.055,0.063,0.063,0.4,0.451,0.482,0.075,0,0,0.051,0,0,11.6,5.8,8.7,1,1,1,0,0.495,0.246
18.01.19,12:08:20,11,1251,0.4294,0.3225,0.3623,0.4324,0.3255,0.3652,0.2957,0.2302,0.271,0.00693802,0.00921659,0.007940854,8.67946346,11.52995392,9.934008762,0,0,0,0.248,0.257,0.257,0.752,0.743,0.743,0.082,0.086,0.086,0.514,0.545,0.569,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
