Date,Time,No.,PAR,F1,F2,F3,Fm'1,Fm'2,Fm'3,Fo'1,Fo'2,Fo'3,EY1,EY2,EY3,t31.1,t31.2,t31.3,Y(II)1,Y(II)2,Y(II)3,Y(NPQ)1,Y(NPQ)2,Y(NPQ)3,Y(NO)1,Y(NO)2,Y(NO)3,NPQ1,NPQ2,NPQ3,qN1,qN2,qN3,qP1,qP2,qP3,qL1,qL2,qL3,ETR1,ETR2,ETR3,Abs.1,Abs.2,Abs.3,Inh.1,Inh.2,Inh.3
18.01.19,15:46:39,1,0,0.299,0.2118,0.2574,0.4941,0.4064,0.4912,0.299,0.2118,0.2574,0.39485934,0.478838583,0.475977199,0,0,0,0.395,0.479,0.476,0,0,0,0.605,0.521,0.524,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,-0.213,-0.206
18.01.19,15:46:50,2,1,0.3078,0.2191,0.2642,0.4897,0.4049,0.4848,0.2974,0.2114,0.2556,0.371451909,0.458878735,0.455033003,0.371451909,0.458878735,0.455033003,0.371,0.459,0.455,0.002,0.001,0.003,0.627,0.54,0.542,0,0,0,0,0,0,0.945,0.961,0.961,0.913,0.927,0.929,0.2,0.2,0.2,1,1,1,0,-0.236,-0.225
18.01.19,15:47:00,3,11,0.327,0.2422,0.2956,0.4951,0.4098,0.4931,0.2994,0.2127,0.2579,0.339527368,0.40897999,0.400527276,3.73480105,4.498779893,4.405800041,0.34,0.409,0.401,0,0,0,0.661,0.593,0.601,0,0,0,0,0,0,0.859,0.851,0.839,0.786,0.747,0.732,1.9,2.3,2.2,1,1,1,0,-0.205,-0.18
18.01.19,15:47:10,4,21,0.3426,0.2598,0.3186,0.4897,0.4069,0.4887,0.2974,0.2119,0.2567,0.300387993,0.361513885,0.348066298,6.308147846,7.591791595,7.309392265,0.3,0.361,0.348,0.002,0,0.001,0.698,0.639,0.651,0,0,0,0,0,0,0.765,0.753,0.733,0.664,0.614,0.591,3.2,3.8,3.7,1,1,1,0,-0.204,-0.159
18.01.19,15:47:20,5,36,0.3515,0.2681,0.3289,0.4814,0.4005,0.477,0.2943,0.2102,0.2534,0.269837973,0.330586767,0.31048218,9.714167013,11.9011236,11.17735849,0.27,0.33,0.31,0.021,0.003,0.021,0.709,0.667,0.669,0.008,0,0.008,0.063,0,0.059,0.694,0.694,0.663,0.581,0.544,0.511,4.9,5.9,5.6,1,1,1,0,-0.225,-0.15
18.01.19,15:47:30,6,81,0.3819,0.3044,0.3794,0.4775,0.3951,0.4691,0.2928,0.2087,0.2512,0.200209424,0.229562136,0.191217224,16.21696335,18.59453303,15.48859518,0.2,0.23,0.191,0.025,0.023,0.036,0.775,0.748,0.772,0.008,0.008,0.012,0.082,0.059,0.09,0.518,0.486,0.412,0.397,0.333,0.273,8.1,9.3,7.7,1,1,1,0,-0.146,0.045
18.01.19,15:47:40,7,146,0.4005,0.3275,0.4034,0.4657,0.3892,0.4603,0.2884,0.207,0.2486,0.140004295,0.158530319,0.123615034,20.44062701,23.14542652,18.04779492,0.14,0.159,0.124,0.051,0.037,0.051,0.809,0.805,0.825,0.016,0.012,0.016,0.137,0.086,0.125,0.369,0.337,0.267,0.265,0.213,0.164,10.2,11.6,9,1,1,1,0,-0.134,0.118
18.01.19,15:47:50,8,281,0.4118,0.3422,0.4162,0.4515,0.376,0.4441,0.2829,0.2032,0.2438,0.087929125,0.089893617,0.062823688,24.70808416,25.26010638,17.65345643,0.088,0.09,0.063,0.078,0.066,0.093,0.834,0.844,0.844,0.024,0.02,0.027,0.2,0.149,0.192,0.235,0.196,0.141,0.162,0.116,0.083,12.4,12.6,8.8,1,1,1,0,-0.023,0.285
18.01.19,15:48:00,9,611,0.4142,0.3451,0.4172,0.4304,0.3569,0.424,0.2744,0.1975,0.2376,0.037639405,0.033062482,0.016037736,22.99767658,20.2011768,9.799056604,0.038,0.033,0.016,0.119,0.12,0.119,0.844,0.847,0.864,0.035,0.035,0.039,0.29,0.235,0.267,0.102,0.075,0,0.068,0.043,0,11.5,10.1,4.9,1,1,1,0,0.123,0.569
18.01.19,15:48:10,10,926,0.3931,0.3289,0.3931,0.402,0.3373,0.402,0.2626,0.1913,0.2305,0.022139303,0.024903647,0.022139303,20.50099502,23.06077676,20.50099502,0.022,0.025,0.022,0.186,0.166,0.176,0.792,0.809,0.802,0.059,0.051,0.055,0.396,0.322,0.341,0.063,0.059,0.051,0.042,0.034,0.03,10.2,11.4,10.2,1,1,1,0,-0.126,0
18.01.19,15:48:20,11,1251,0.3647,0.3083,0.3711,0.374,0.3123,0.3745,0.2504,0.183,0.2212,0.02486631,0.012808197,0.009078772,31.10775401,16.02305476,11.35754339,0.025,0,0,0.233,0.23,0.239,0.742,0.77,0.761,0.078,0.075,0.078,0.494,0.42,0.431,0.075,0,0,0.051,0,0,15.6,0,0,1,1,1,0,1,1
