Date,Time,No.,PAR,F1,F2,F3,Fm'1,Fm'2,Fm'3,Fo'1,Fo'2,Fo'3,EY1,EY2,EY3,t14.1,t14.2,t14.3,Y(II)1,Y(II)2,Y(II)3,Y(NPQ)1,Y(NPQ)2,Y(NPQ)3,Y(NO)1,Y(NO)2,Y(NO)3,NPQ1,NPQ2,NPQ3,qN1,qN2,qN3,qP1,qP2,qP3,qL1,qL2,qL3,ETR1,ETR2,ETR3,Abs.1,Abs.2,Abs.3,Inh.1,Inh.2,Inh.3
18.01.19,13:42:22,1,0,0.125,0.15,0.1093,0.2309,0.2765,0.2034,0.125,0.15,0.1093,0.458640104,0.457504521,0.462635202,0,0,0,0.459,0.457,0.463,0,0,0,0.541,0.543,0.537,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0.003,-0.009
18.01.19,13:42:33,2,1,0.123,0.1461,0.1044,0.225,0.2706,0.1995,0.1233,0.1483,0.1082,0.453333333,0.460088692,0.476691729,0.453333333,0.460088692,0.476691729,0.453,0.46,0.477,0.005,0,0,0.541,0.543,0.537,0,0,0,0,0,0,1,1,1,1,1,1,0.2,0.2,0.2,0,0,0,0,-0.015,-0.052
18.01.19,13:42:43,3,11,0.1294,0.1544,0.1054,0.2029,0.2554,0.1735,0.1163,0.1436,0.1,0.362247413,0.395458105,0.392507205,3.984721538,4.350039154,4.317579251,0.362,0.395,0.393,0.078,0.045,0.089,0.56,0.56,0.518,0.035,0.02,0.043,0.243,0.157,0.29,0.847,0.902,0.925,0.761,0.839,0.879,1.7,1.8,1.8,0,0,0,0,-0.091,-0.084
18.01.19,13:42:53,4,21,0.1275,0.1539,0.1044,0.1833,0.2319,0.1505,0.1096,0.1358,0.0919,0.304418985,0.336351876,0.306312292,6.392798691,7.063389392,6.43255814,0.305,0.336,0.306,0.145,0.106,0.179,0.55,0.558,0.515,0.067,0.047,0.086,0.392,0.318,0.475,0.757,0.812,0.788,0.651,0.716,0.694,2.7,3,2.7,0,0,0,0,-0.103,-0.005
18.01.19,13:43:03,5,36,0.1255,0.1525,0.1054,0.1701,0.2162,0.1441,0.1047,0.1303,0.0895,0.262198707,0.294634598,0.268563498,9.439153439,10.60684551,9.668285913,0.262,0.295,0.269,0.195,0.155,0.212,0.543,0.551,0.519,0.09,0.071,0.102,0.482,0.412,0.522,0.682,0.741,0.71,0.57,0.633,0.603,4,4.5,4.1,0,0,0,0,-0.124,-0.025
18.01.19,13:43:13,6,81,0.1328,0.1598,0.1098,0.1603,0.1975,0.1328,0.1009,0.1233,0.085,0.171553337,0.190886076,0.173192771,13.89582034,15.46177215,14.02861446,0.171,0.191,0.173,0.253,0.229,0.287,0.576,0.58,0.539,0.11,0.098,0.133,0.545,0.514,0.596,0.463,0.51,0.482,0.352,0.393,0.374,5.8,6.5,5.9,0,0,0,0,-0.116,-0.013
18.01.19,13:43:23,7,146,0.1382,0.1618,0.1118,0.1564,0.1853,0.1275,0.0994,0.1184,0.0828,0.116368286,0.126821371,0.123137255,16.98976982,18.51592013,17.97803922,0.116,0.127,0.123,0.283,0.286,0.328,0.601,0.587,0.549,0.118,0.122,0.149,0.565,0.576,0.631,0.318,0.353,0.353,0.228,0.258,0.261,7.1,7.8,7.5,0,0,0,0,-0.095,-0.061
18.01.19,13:43:34,8,281,0.1382,0.1657,0.1162,0.1471,0.1745,0.1221,0.0955,0.1139,0.0805,0.060503059,0.050429799,0.048321048,17.00135962,14.17077364,13.57821458,0.06,0.051,0.048,0.34,0.349,0.349,0.6,0.601,0.603,0.141,0.145,0.165,0.62,0.627,0.663,0.173,0.145,0,0.119,0.1,0,7.1,6,5.7,0,0,0,0,0.157,0.197
18.01.19,13:43:43,9,611,0.1402,0.1637,0.1191,0.1431,0.1667,0.1206,0.0939,0.1105,0.0798,0.020265549,0.017996401,0.012437811,12.38225017,10.99580084,7.599502488,0,0,0,0.38,0.397,0.408,0.62,0.603,0.592,0.153,0.165,0.173,0.639,0.663,0.671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.01.19,13:43:53,10,926,0.1377,0.1569,0.1152,0.1363,0.1588,0.1142,0.0909,0.107,0.077,-0.01027146,0.011964736,-0.008756567,-9.511371974,11.07934509,-8.108581436,0,0,0,0.408,0.424,0.44,0.592,0.576,0.56,0.173,0.184,0.196,0.675,0.694,0.706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.01.19,13:44:03,11,1251,0.1328,0.1505,0.1113,0.1319,0.1534,0.1088,0.0889,0.1045,0.0745,-0.006823351,0.018904824,-0.022977941,-8.53601213,23.64993481,-28.74540441,0,0,0,0.43,0.444,0.463,0.57,0.556,0.537,0.188,0.2,0.216,0.698,0.714,0.733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
