Date;Time;No.;PAR;F1;F2;F3;Fm'1;Fm'2;Fm'3;Fo'1;Fo'2;Fo'3;Y(II)1;Y(II)2;Y(II)3;Y(NPQ)1;Y(NPQ)2;Y(NPQ)3;Y(NO)1;Y(NO)2;Y(NO)3;NPQ1;NPQ2;NPQ3;qN1;qN2;qN3;qP1;qP2;qP3;qL1;qL2;qL3;ETR1;ETR2;ETR3;Abs.1;Abs.2;Abs.3;Inh.1;Inh.2;Inh.3;
22.01.19;08:17:26;1;0;0.2382;0.2240;0.2343;0.4103;0.3917;0.4118;0.2382;0.2240;0.2343;0.419;0.428;0.431;0.000;0.000;0.000;0.581;0.572;0.569;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;  0.0;  0.0;  0.0;1.000;1.000;1.000;0.000;-0.021;-0.028;
22.01.19;08:18:08;2;36;0.3020;0.2848;0.3074;0.4186;0.3990;0.4201;0.2410;0.2264;0.2370;0.279;0.286;0.268;0.000;0.000;0.000;0.725;0.717;0.736;0.000;0.000;0.000;0.000;0.000;0.000;0.659;0.663;0.616;0.526;0.527;0.475;  5.0;  5.2;  4.8;1.000;1.000;1.000;0.000;-0.027;0.037;
22.01.19;08:18:28;3;36;0.3000;0.2873;0.3078;0.4000;0.3824;0.4039;0.2347;0.2209;0.2318;0.250;0.249;0.238;0.021;0.021;0.003;0.729;0.730;0.759;0.008;0.008;0.000;0.059;0.055;0.000;0.604;0.588;0.557;0.473;0.452;0.419;  4.5;  4.5;  4.3;1.000;1.000;1.000;0.000;0.005;0.049;
22.01.19;08:18:48;4;36;0.2902;0.2789;0.3005;0.3902;0.3735;0.3922;0.2313;0.2180;0.2278;0.256;0.253;0.234;0.034;0.034;0.035;0.710;0.713;0.732;0.012;0.012;0.012;0.114;0.106;0.106;0.627;0.608;0.557;0.500;0.475;0.422;  4.6;  4.6;  4.2;1.000;1.000;1.000;0.000;0.012;0.088;
22.01.19;08:19:08;5;36;0.2887;0.2755;0.2966;0.3843;0.3681;0.3897;0.2292;0.2161;0.2270;0.249;0.252;0.239;0.045;0.044;0.044;0.706;0.704;0.717;0.016;0.016;0.016;0.145;0.133;0.118;0.616;0.608;0.573;0.489;0.477;0.438;  4.5;  4.5;  4.3;1.000;1.000;1.000;0.000;-0.012;0.039;
22.01.19;08:19:28;6;36;0.2824;0.2711;0.2912;0.3809;0.3632;0.3848;0.2280;0.2144;0.2253;0.259;0.254;0.243;0.053;0.054;0.046;0.688;0.692;0.710;0.020;0.020;0.016;0.161;0.161;0.145;0.643;0.620;0.588;0.519;0.490;0.455;  4.7;  4.6;  4.4;1.000;1.000;1.000;0.000;0.019;0.059;
22.01.19;08:19:48;7;36;0.2770;0.2676;0.2858;0.3755;0.3613;0.3824;0.2261;0.2137;0.2245;0.262;0.259;0.253;0.063;0.055;0.054;0.675;0.686;0.693;0.024;0.020;0.020;0.188;0.173;0.157;0.659;0.635;0.612;0.538;0.507;0.481;  4.7;  4.7;  4.5;1.000;1.000;1.000;0.000;0.012;0.037;
22.01.19;08:20:08;8;36;0.2745;0.2652;0.2828;0.3716;0.3564;0.3789;0.2246;0.2120;0.2233;0.261;0.256;0.254;0.072;0.065;0.063;0.667;0.679;0.684;0.027;0.024;0.024;0.208;0.196;0.173;0.659;0.631;0.616;0.539;0.505;0.486;  4.7;  4.6;  4.6;1.000;1.000;1.000;0.000;0.021;0.029;
22.01.19;08:20:28;9;36;0.2735;0.2618;0.2809;0.3701;0.3544;0.3740;0.2241;0.2113;0.2216;0.261;0.261;0.249;0.073;0.072;0.066;0.666;0.666;0.685;0.027;0.027;0.024;0.216;0.208;0.200;0.663;0.647;0.612;0.543;0.522;0.483;  4.7;  4.7;  4.5;1.000;1.000;1.000;0.000;-0.002;0.046;
22.01.19;08:20:48;10;36;0.2696;0.2588;0.2745;0.3691;0.3510;0.3725;0.2237;0.2101;0.2211;0.270;0.263;0.263;0.073;0.074;0.072;0.657;0.663;0.665;0.027;0.027;0.027;0.220;0.224;0.204;0.686;0.655;0.647;0.570;0.532;0.521;  4.9;  4.7;  4.7;1.000;1.000;1.000;0.000;0.026;0.024;
