Date;Time;No.;PAR;F1;F2;F3;Fm'1;Fm'2;Fm'3;Fo'1;Fo'2;Fo'3;Y(II)1;Y(II)2;Y(II)3;Y(NPQ)1;Y(NPQ)2;Y(NPQ)3;Y(NO)1;Y(NO)2;Y(NO)3;NPQ1;NPQ2;NPQ3;qN1;qN2;qN3;qP1;qP2;qP3;qL1;qL2;qL3;ETR1;ETR2;ETR3;Abs.1;Abs.2;Abs.3;Inh.1;Inh.2;Inh.3;
22.01.19;14:52:30;1;0;0.2230;0.2417;0.2127;0.5015;0.3838;0.4382;0.2230;0.2417;0.2127;0.555;0.370;0.515;0.000;0.000;0.000;0.445;0.630;0.485;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;  0.0;  0.0;  0.0;0.000;0.000;0.000;0.000;0.333;0.073;
22.01.19;14:53:12;2;36;0.4799;0.3422;0.3078;0.5015;0.3858;0.4358;0.2230;0.2424;0.2122;0.043;0.113;0.294;0.001;0.000;0.001;0.956;0.887;0.705;0.000;0.000;0.000;0.000;0.000;0.000;0.078;0.306;0.573;0.036;0.217;0.395;  0.7;  1.7;  4.4;0.000;0.000;0.000;0.000;-1.629;-5.826;
22.01.19;14:53:32;3;36;0.4971;0.3520;0.3010;0.5010;0.3711;0.4201;0.2229;0.2366;0.2084;0.000;0.052;0.284;0.000;0.029;0.031;1.000;0.920;0.686;0.000;0.008;0.012;0.000;0.086;0.078;0.000;0.141;0.561;0.000;0.095;0.388;  0.0;  0.8;  4.3;0.000;0.000;0.000;0.000;0.000;0.000;
22.01.19;14:53:52;4;36;0.4887;0.3456;0.2897;0.4877;0.3657;0.4172;0.2203;0.2343;0.2077;0.000;0.055;0.306;0.030;0.043;0.032;0.970;0.902;0.663;0.008;0.012;0.012;0.047;0.122;0.090;0.000;0.153;0.608;0.000;0.104;0.436;  0.0;  0.8;  4.6;0.000;0.000;0.000;0.000;0.000;0.000;
22.01.19;14:54:12;5;36;0.4804;0.3338;0.2887;0.4799;0.3510;0.4103;0.2187;0.2282;0.2059;0.000;0.049;0.296;0.045;0.082;0.043;0.955;0.869;0.661;0.012;0.024;0.016;0.075;0.212;0.122;0.000;0.141;0.596;0.000;0.097;0.425;  0.0;  0.7;  4.5;0.000;0.000;0.000;0.000;0.000;0.000;
22.01.19;14:54:32;6;36;0.4725;0.3275;0.2873;0.4691;0.3417;0.4108;0.2164;0.2242;0.2061;0.000;0.042;0.301;0.059;0.107;0.042;0.941;0.851;0.657;0.016;0.031;0.016;0.114;0.263;0.118;0.000;0.122;0.604;0.000;0.083;0.433;  0.0;  0.6;  4.5;0.000;0.000;0.000;0.000;0.000;0.000;
22.01.19;14:54:52;7;36;0.4642;0.3083;0.2770;0.4588;0.3260;0.4049;0.2142;0.2174;0.2046;0.000;0.054;0.316;0.086;0.139;0.051;0.914;0.807;0.633;0.024;0.043;0.020;0.149;0.349;0.141;0.000;0.161;0.639;0.000;0.113;0.472;  0.0;  0.8;  4.8;0.000;0.000;0.000;0.000;0.000;0.000;
22.01.19;14:55:12;8;36;0.4593;0.2966;0.2770;0.4554;0.3083;0.4010;0.2134;0.2094;0.2036;0.000;0.038;0.309;0.086;0.193;0.059;0.914;0.769;0.632;0.024;0.063;0.024;0.161;0.431;0.157;0.000;0.118;0.627;0.000;0.083;0.461;  0.0;  0.6;  4.7;0.000;0.000;0.000;0.000;0.000;0.000;
22.01.19;14:55:32;9;36;0.4525;0.2814;0.2730;0.4485;0.2946;0.4015;0.2119;0.2030;0.2037;0.000;0.045;0.320;0.111;0.220;0.059;0.889;0.736;0.622;0.031;0.075;0.024;0.184;0.494;0.157;0.000;0.145;0.651;0.000;0.105;0.486;  0.0;  0.7;  4.8;0.000;0.000;0.000;0.000;0.000;0.000;
22.01.19;14:55:52;10;36;0.4466;0.2667;0.2725;0.4402;0.2799;0.3966;0.2100;0.1959;0.2024;0.000;0.047;0.313;0.124;0.260;0.067;0.876;0.692;0.620;0.035;0.094;0.027;0.212;0.553;0.176;0.000;0.157;0.639;0.000;0.115;0.475;  0.0;  0.7;  4.7;0.000;0.000;0.000;0.000;0.000;0.000;
