Date;Time;No.;PAR;F1;F2;Fm'1;Fm'2;Fo'1;Fo'2;Y(II)1;Y(II)2;Y(NPQ)1;Y(NPQ)2;Y(NO)1;Y(NO)2;NPQ1;NPQ2;qN1;qN2;qP1;qP2;qL1;qL2;ETR1;ETR2;Abs.1;Abs.2;Inh.1;Inh.2;
21.01.19;16:32:06;1;0;0.1588;0.2118;0.3485;0.4637;0.1588;0.2118;0.544;0.543;0.000;0.000;0.456;0.457;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;  0.0;  0.0;0.000;0.000;0.000;0.002;
21.01.19;16:32:48;2;36;0.2132;0.2848;0.3471;0.4745;0.1585;0.2140;0.386;0.400;0.001;0.000;0.613;0.605;0.000;0.000;0.000;0.000;0.710;0.729;0.528;0.548;  5.8;  6.0;0.000;0.000;0.000;-0.037;
21.01.19;16:33:08;3;36;0.2167;0.3074;0.3265;0.4711;0.1541;0.2133;0.336;0.348;0.040;0.000;0.624;0.656;0.016;0.000;0.114;0.000;0.635;0.635;0.452;0.441;  5.1;  5.3;0.000;0.000;0.000;-0.033;
21.01.19;16:33:28;4;36;0.2059;0.2853;0.3108;0.4578;0.1505;0.2105;0.338;0.377;0.073;0.003;0.589;0.620;0.031;0.000;0.192;0.000;0.655;0.698;0.479;0.515;  5.1;  5.7;0.000;0.000;0.000;-0.117;
21.01.19;16:33:48;5;36;0.2005;0.2789;0.2975;0.4490;0.1473;0.2086;0.326;0.379;0.099;0.019;0.575;0.603;0.043;0.008;0.255;0.059;0.647;0.706;0.475;0.528;  4.9;  5.7;0.000;0.000;0.000;-0.161;
21.01.19;16:34:08;6;36;0.1926;0.2765;0.2926;0.4466;0.1461;0.2081;0.342;0.381;0.105;0.021;0.554;0.599;0.047;0.008;0.275;0.067;0.682;0.714;0.518;0.537;  5.2;  5.8;0.000;0.000;0.000;-0.115;
21.01.19;16:34:28;7;36;0.1863;0.2775;0.2838;0.4446;0.1439;0.2077;0.344;0.376;0.124;0.027;0.532;0.597;0.059;0.012;0.318;0.075;0.698;0.706;0.539;0.528;  5.2;  5.7;0.000;0.000;0.000;-0.094;
21.01.19;16:34:48;8;36;0.1833;0.2755;0.2760;0.4363;0.1418;0.2058;0.336;0.369;0.139;0.037;0.525;0.594;0.067;0.016;0.353;0.106;0.690;0.698;0.534;0.522;  5.1;  5.6;0.000;0.000;0.000;-0.098;
21.01.19;16:35:08;9;36;0.1809;0.2735;0.2745;0.4324;0.1414;0.2050;0.341;0.367;0.139;0.045;0.520;0.588;0.067;0.020;0.357;0.122;0.702;0.698;0.549;0.523;  5.2;  5.6;0.000;0.000;0.000;-0.077;
21.01.19;16:35:28;10;36;0.1760;0.2676;0.2706;0.4260;0.1404;0.2035;0.350;0.372;0.144;0.054;0.507;0.575;0.071;0.024;0.373;0.145;0.725;0.714;0.579;0.543;  5.3;  5.6;0.000;0.000;0.000;-0.063;
21.01.19;16:35:48;11;36;0.1755;0.2632;0.2711;0.4211;0.1405;0.2024;0.353;0.375;0.143;0.055;0.504;0.570;0.071;0.024;0.373;0.165;0.733;0.722;0.587;0.555;  5.3;  5.7;0.000;0.000;0.000;-0.063;
21.01.19;16:36:08;12;36;0.1740;0.2618;0.2647;0.4147;0.1388;0.2009;0.343;0.369;0.158;0.069;0.500;0.563;0.078;0.031;0.400;0.188;0.722;0.714;0.576;0.548;  5.2;  5.6;0.000;0.000;0.000;-0.076;
21.01.19;16:36:28;13;36;0.1725;0.2583;0.2652;0.4069;0.1389;0.1991;0.349;0.365;0.155;0.078;0.495;0.557;0.078;0.035;0.396;0.216;0.733;0.714;0.590;0.550;  5.3;  5.5;0.000;0.000;0.000;-0.045;
21.01.19;16:36:48;14;36;0.1721;0.2583;0.2627;0.4025;0.1383;0.1980;0.345;0.358;0.162;0.087;0.493;0.555;0.082;0.039;0.408;0.231;0.729;0.706;0.586;0.541;  5.2;  5.4;0.000;0.000;0.000;-0.038;
21.01.19;16:37:08;15;36;0.1735;0.2534;0.2672;0.3966;0.1395;0.1966;0.350;0.361;0.150;0.093;0.499;0.546;0.075;0.043;0.388;0.251;0.733;0.714;0.589;0.554;  5.3;  5.5;0.000;0.000;0.000;-0.030;
