Date;Time;No.;PAR;F1;Fm'1;Fo'1;Y(II)1;Y(NPQ)1;Y(NO)1;NPQ1;qN1;qP1;qL1;ETR1;Abs.1;Inh.1;
22.01.19;07:30:30;1;0;0.2069;0.4270;0.2069;0.515;0.000;0.485;0.000;0.000;1.000;1.000;  0.0;1.000;0.000;
22.01.19;07:31:12;2;36;0.2696;0.4275;0.2070;0.369;0.000;0.630;0.000;0.000;0.718;0.551;  6.6;1.000;0.000;
22.01.19;07:31:32;3;36;0.2701;0.3721;0.1931;0.274;0.090;0.635;0.035;0.235;0.569;0.406;  4.9;1.000;0.000;
22.01.19;07:31:52;4;36;0.2515;0.3505;0.1871;0.283;0.130;0.588;0.055;0.318;0.608;0.452;  5.1;1.000;0.000;
22.01.19;07:32:12;5;36;0.2480;0.3515;0.1874;0.294;0.127;0.579;0.055;0.314;0.631;0.477;  5.3;1.000;0.000;
22.01.19;07:32:32;6;36;0.2436;0.3515;0.1874;0.307;0.125;0.569;0.055;0.314;0.659;0.507;  5.5;1.000;0.000;
22.01.19;07:32:52;7;36;0.2397;0.3510;0.1872;0.317;0.122;0.561;0.055;0.318;0.678;0.530;  5.7;1.000;0.000;
22.01.19;07:33:12;8;36;0.2358;0.3471;0.1861;0.321;0.128;0.551;0.059;0.333;0.690;0.545;  5.8;1.000;0.000;
22.01.19;07:33:32;9;36;0.2328;0.3461;0.1858;0.327;0.128;0.545;0.059;0.337;0.706;0.563;  5.9;1.000;0.000;
22.01.19;07:33:52;10;36;0.2270;0.3446;0.1854;0.341;0.126;0.533;0.059;0.341;0.737;0.602;  6.1;1.000;0.000;
22.01.19;07:34:12;11;36;0.2270;0.3422;0.1847;0.337;0.133;0.530;0.063;0.349;0.733;0.597;  6.1;1.000;0.000;
22.01.19;07:34:32;12;36;0.2235;0.3397;0.1840;0.342;0.133;0.525;0.063;0.361;0.745;0.613;  6.2;1.000;0.000;
22.01.19;07:34:52;13;36;0.2211;0.3402;0.1841;0.350;0.131;0.519;0.063;0.357;0.765;0.637;  6.3;1.000;0.000;
22.01.19;07:35:12;14;36;0.2186;0.3387;0.1837;0.355;0.135;0.510;0.067;0.361;0.776;0.652;  6.4;1.000;0.000;
22.01.19;07:35:32;15;36;0.2206;0.3373;0.1832;0.346;0.137;0.517;0.067;0.369;0.757;0.629;  6.2;1.000;0.000;
