Date;Time;No.;PAR;F1;F2;F3;Fm'1;Fm'2;Fm'3;Fo'1;Fo'2;Fo'3;Y(II)1;Y(II)2;Y(II)3;Y(NPQ)1;Y(NPQ)2;Y(NPQ)3;Y(NO)1;Y(NO)2;Y(NO)3;NPQ1;NPQ2;NPQ3;qN1;qN2;qN3;qP1;qP2;qP3;qL1;qL2;qL3;ETR1;ETR2;ETR3;Abs.1;Abs.2;Abs.3;Inh.1;Inh.2;Inh.3;
22.01.19;13:06:49;1;0;0.2142;0.2132;0.2147;0.3912;0.4240;0.4108;0.2142;0.2132;0.2147;0.452;0.497;0.477;0.000;0.000;0.000;0.548;0.503;0.523;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;  0.0;  0.0;  0.0;0.000;0.000;0.000;0.000;-0.099;-0.055;
22.01.19;13:07:31;2;36;0.2941;0.3034;0.3098;0.3956;0.4250;0.4113;0.2155;0.2135;0.2148;0.257;0.286;0.247;0.000;0.000;0.000;0.745;0.714;0.753;0.000;0.000;0.000;0.000;0.000;0.000;0.565;0.576;0.518;0.414;0.406;0.359;  3.9;  4.3;  3.7;0.000;0.000;0.000;0.000;-0.115;0.038;
22.01.19;13:07:51;3;36;0.2912;0.2956;0.3044;0.3873;0.4103;0.3956;0.2130;0.2097;0.2105;0.248;0.280;0.230;0.002;0.023;0.025;0.750;0.698;0.744;0.000;0.008;0.008;0.000;0.063;0.075;0.553;0.573;0.494;0.405;0.406;0.342;  3.8;  4.2;  3.5;0.000;0.000;0.000;0.000;-0.127;0.071;
22.01.19;13:08:11;4;36;0.2789;0.2863;0.2907;0.3755;0.4000;0.3863;0.2094;0.2070;0.2078;0.257;0.284;0.247;0.032;0.041;0.045;0.711;0.674;0.707;0.012;0.016;0.016;0.086;0.110;0.122;0.580;0.588;0.537;0.436;0.425;0.384;  3.9;  4.3;  3.7;0.000;0.000;0.000;0.000;-0.106;0.038;
22.01.19;13:08:31;5;36;0.2735;0.2775;0.2873;0.3672;0.3882;0.3779;0.2068;0.2038;0.2054;0.255;0.285;0.240;0.045;0.061;0.064;0.700;0.654;0.696;0.016;0.024;0.024;0.129;0.161;0.161;0.584;0.600;0.525;0.442;0.441;0.376;  3.9;  4.3;  3.6;0.000;0.000;0.000;0.000;-0.119;0.059;
22.01.19;13:08:51;6;36;0.2716;0.2760;0.2828;0.3623;0.3838;0.3716;0.2052;0.2026;0.2035;0.250;0.281;0.239;0.054;0.071;0.075;0.695;0.648;0.686;0.020;0.027;0.027;0.157;0.180;0.188;0.576;0.596;0.529;0.436;0.438;0.381;  3.8;  4.2;  3.6;0.000;0.000;0.000;0.000;-0.122;0.046;
22.01.19;13:09:11;7;36;0.2647;0.2716;0.2740;0.3569;0.3765;0.3681;0.2035;0.2005;0.2024;0.258;0.279;0.256;0.064;0.081;0.075;0.678;0.641;0.670;0.024;0.031;0.027;0.184;0.212;0.204;0.600;0.596;0.569;0.461;0.440;0.420;  3.9;  4.2;  3.9;0.000;0.000;0.000;0.000;-0.079;0.010;
22.01.19;13:09:31;8;36;0.2637;0.2662;0.2716;0.3544;0.3711;0.3623;0.2027;0.1990;0.2007;0.256;0.283;0.250;0.072;0.088;0.092;0.672;0.629;0.658;0.027;0.035;0.035;0.196;0.235;0.231;0.596;0.608;0.561;0.458;0.454;0.414;  3.9;  4.3;  3.8;0.000;0.000;0.000;0.000;-0.105;0.022;
22.01.19;13:09:51;9;36;0.2603;0.2623;0.2667;0.3534;0.3696;0.3564;0.2024;0.1985;0.1988;0.264;0.290;0.252;0.072;0.089;0.101;0.664;0.621;0.648;0.027;0.035;0.039;0.200;0.243;0.255;0.616;0.627;0.569;0.479;0.475;0.424;  4.0;  4.4;  3.8;0.000;0.000;0.000;0.000;-0.102;0.045;
22.01.19;13:10:11;10;36;0.2588;0.2598;0.2642;0.3451;0.3676;0.3525;0.1996;0.1980;0.1976;0.250;0.293;0.250;0.091;0.095;0.109;0.659;0.611;0.641;0.035;0.039;0.043;0.239;0.251;0.275;0.592;0.635;0.569;0.457;0.484;0.425;  3.8;  4.4;  3.8;0.000;0.000;0.000;0.000;-0.173;-0.001;
