Date;Time;No.;PAR;F1;F2;F3;Fm'1;Fm'2;Fm'3;Fo'1;Fo'2;Fo'3;Y(II)1;Y(II)2;Y(II)3;Y(NPQ)1;Y(NPQ)2;Y(NPQ)3;Y(NO)1;Y(NO)2;Y(NO)3;NPQ1;NPQ2;NPQ3;qN1;qN2;qN3;qP1;qP2;qP3;qL1;qL2;qL3;ETR1;ETR2;ETR3;Abs.1;Abs.2;Abs.3;Inh.1;Inh.2;Inh.3;
22.01.19;13:54:15;1;0;0.1799;0.1951;0.1897;0.3137;0.3848;0.3789;0.1799;0.1951;0.1897;0.427;0.493;0.499;0.000;0.000;0.000;0.573;0.507;0.501;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;  0.0;  0.0;  0.0;1.000;1.000;1.000;0.000;-0.156;-0.171;
22.01.19;13:54:57;2;36;0.2186;0.2608;0.2525;0.3137;0.3922;0.3853;0.1799;0.1970;0.1913;0.303;0.335;0.345;0.000;0.000;0.000;0.697;0.669;0.658;0.000;0.000;0.000;0.000;0.000;0.000;0.710;0.675;0.686;0.584;0.509;0.520;  5.5;  6.0;  6.2;1.000;1.000;1.000;0.000;-0.105;-0.137;
22.01.19;13:55:17;3;36;0.2167;0.2583;0.2510;0.2926;0.3730;0.3637;0.1728;0.1920;0.1858;0.260;0.307;0.310;0.053;0.022;0.030;0.687;0.671;0.660;0.020;0.008;0.012;0.149;0.063;0.078;0.635;0.635;0.635;0.507;0.472;0.470;  4.7;  5.5;  5.6;1.000;1.000;1.000;0.000;-0.184;-0.194;
22.01.19;13:55:37;4;36;0.2059;0.2456;0.2407;0.2814;0.3657;0.3520;0.1688;0.1901;0.1827;0.268;0.328;0.316;0.073;0.031;0.050;0.658;0.641;0.634;0.027;0.012;0.020;0.224;0.098;0.137;0.671;0.682;0.659;0.550;0.528;0.500;  4.8;  5.9;  5.7;1.000;1.000;1.000;0.000;-0.224;-0.178;
22.01.19;13:55:57;5;36;0.1995;0.2387;0.2324;0.2706;0.3593;0.3500;0.1648;0.1883;0.1822;0.263;0.336;0.336;0.100;0.047;0.049;0.637;0.617;0.614;0.039;0.020;0.020;0.290;0.129;0.145;0.671;0.706;0.702;0.554;0.557;0.550;  4.7;  6.0;  6.1;1.000;1.000;1.000;0.000;-0.278;-0.280;
22.01.19;13:56:17;6;36;0.1946;0.2358;0.2304;0.2627;0.3525;0.3426;0.1619;0.1864;0.1802;0.259;0.331;0.328;0.118;0.057;0.066;0.623;0.612;0.607;0.047;0.024;0.027;0.337;0.165;0.184;0.675;0.702;0.690;0.561;0.555;0.540;  4.7;  6.0;  5.9;1.000;1.000;1.000;0.000;-0.276;-0.263;
22.01.19;13:56:37;7;36;0.1882;0.2319;0.2270;0.2583;0.3505;0.3466;0.1602;0.1859;0.1812;0.271;0.338;0.345;0.130;0.058;0.056;0.598;0.604;0.599;0.055;0.024;0.024;0.361;0.173;0.165;0.714;0.722;0.722;0.607;0.578;0.576;  4.9;  6.1;  6.2;1.000;1.000;1.000;0.000;-0.247;-0.272;
22.01.19;13:56:57;8;36;0.1838;0.2270;0.2250;0.2505;0.3495;0.3436;0.1572;0.1856;0.1804;0.266;0.351;0.345;0.147;0.058;0.063;0.587;0.592;0.592;0.063;0.024;0.027;0.404;0.176;0.176;0.714;0.749;0.725;0.610;0.613;0.582;  4.8;  6.3;  6.2;1.000;1.000;1.000;0.000;-0.317;-0.297;
22.01.19;13:57:17;9;36;0.1814;0.2270;0.2260;0.2461;0.3446;0.3431;0.1554;0.1842;0.1803;0.263;0.341;0.341;0.161;0.066;0.064;0.576;0.592;0.595;0.071;0.027;0.027;0.427;0.200;0.180;0.714;0.733;0.718;0.612;0.595;0.573;  4.7;  6.1;  6.1;1.000;1.000;1.000;0.000;-0.298;-0.298;
22.01.19;13:57:37;10;36;0.1775;0.2240;0.2221;0.2451;0.3441;0.3358;0.1550;0.1841;0.1782;0.276;0.349;0.339;0.159;0.071;0.074;0.565;0.580;0.587;0.071;0.031;0.031;0.431;0.204;0.216;0.749;0.749;0.722;0.654;0.615;0.579;  5.0;  6.3;  6.1;1.000;1.000;1.000;0.000;-0.265;-0.227;
