Date;Time;No.;PAR;F1;F2;F3;Fm'1;Fm'2;Fm'3;Fo'1;Fo'2;Fo'3;Y(II)1;Y(II)2;Y(II)3;Y(NPQ)1;Y(NPQ)2;Y(NPQ)3;Y(NO)1;Y(NO)2;Y(NO)3;NPQ1;NPQ2;NPQ3;qN1;qN2;qN3;qP1;qP2;qP3;qL1;qL2;qL3;ETR1;ETR2;ETR3;Abs.1;Abs.2;Abs.3;Inh.1;Inh.2;Inh.3;
22.01.19;07:39:46;1;0;0.1971;0.2172;0.2235;0.4108;0.4211;0.4745;0.1971;0.2172;0.2235;0.520;0.484;0.529;0.000;0.000;0.000;0.480;0.516;0.471;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;  0.0;  0.0;  0.0;1.000;1.000;1.000;0.000;0.069;-0.017;
22.01.19;07:40:28;2;36;0.2471;0.2755;0.2902;0.4103;0.4162;0.4765;0.1969;0.2158;0.2240;0.398;0.338;0.391;0.000;0.003;0.000;0.602;0.659;0.610;0.000;0.000;0.000;0.000;0.000;0.000;0.765;0.702;0.737;0.610;0.550;0.569;  7.2;  6.1;  7.0;1.000;1.000;1.000;0.000;0.150;0.017;
22.01.19;07:40:48;3;36;0.2328;0.2583;0.2877;0.3397;0.3515;0.4456;0.1791;0.1970;0.2169;0.315;0.265;0.354;0.117;0.124;0.039;0.568;0.611;0.607;0.051;0.051;0.016;0.306;0.310;0.114;0.667;0.604;0.690;0.513;0.461;0.520;  5.7;  4.8;  6.4;1.000;1.000;1.000;0.000;0.158;-0.126;
22.01.19;07:41:08;4;36;0.2284;0.2466;0.2770;0.3314;0.3387;0.4299;0.1767;0.1930;0.2131;0.311;0.272;0.356;0.132;0.139;0.063;0.557;0.588;0.582;0.059;0.059;0.027;0.341;0.361;0.173;0.667;0.631;0.706;0.516;0.494;0.543;  5.6;  4.9;  6.4;1.000;1.000;1.000;0.000;0.124;-0.145;
22.01.19;07:41:28;5;36;0.2284;0.2436;0.2725;0.3353;0.3343;0.4221;0.1779;0.1915;0.2112;0.319;0.271;0.354;0.123;0.153;0.072;0.558;0.576;0.574;0.055;0.067;0.031;0.325;0.376;0.200;0.678;0.635;0.710;0.528;0.499;0.550;  5.7;  4.9;  6.4;1.000;1.000;1.000;0.000;0.149;-0.111;
22.01.19;07:41:48;6;36;0.2225;0.2368;0.2632;0.3324;0.3328;0.4157;0.1770;0.1910;0.2096;0.330;0.289;0.367;0.127;0.150;0.079;0.542;0.562;0.554;0.059;0.067;0.035;0.337;0.384;0.224;0.706;0.678;0.741;0.561;0.547;0.590;  5.9;  5.2;  6.6;1.000;1.000;1.000;0.000;0.126;-0.110;
22.01.19;07:42:08;7;36;0.2172;0.2309;0.2603;0.3289;0.3250;0.4127;0.1760;0.1884;0.2088;0.340;0.290;0.369;0.132;0.163;0.085;0.528;0.547;0.546;0.063;0.075;0.039;0.349;0.412;0.231;0.729;0.690;0.749;0.591;0.563;0.601;  6.1;  5.2;  6.6;1.000;1.000;1.000;0.000;0.148;-0.087;
22.01.19;07:42:28;8;36;0.2147;0.2279;0.2559;0.3270;0.3250;0.4078;0.1755;0.1884;0.2075;0.343;0.299;0.373;0.133;0.161;0.086;0.524;0.541;0.542;0.063;0.075;0.039;0.357;0.412;0.251;0.741;0.710;0.757;0.606;0.587;0.614;  6.2;  5.4;  6.7;1.000;1.000;1.000;0.000;0.130;-0.085;
22.01.19;07:42:48;9;36;0.2132;0.2250;0.2534;0.3284;0.3240;0.4074;0.1759;0.1881;0.2074;0.351;0.306;0.378;0.131;0.160;0.090;0.519;0.535;0.532;0.063;0.075;0.043;0.349;0.416;0.251;0.757;0.729;0.769;0.624;0.610;0.629;  6.3;  5.5;  6.8;1.000;1.000;1.000;0.000;0.129;-0.077;
22.01.19;07:43:08;10;36;0.2103;0.2216;0.2505;0.3270;0.3221;0.4064;0.1755;0.1874;0.2072;0.357;0.312;0.384;0.129;0.163;0.090;0.514;0.525;0.526;0.063;0.078;0.043;0.357;0.424;0.255;0.769;0.745;0.784;0.641;0.630;0.649;  6.4;  5.6;  6.9;1.000;1.000;1.000;0.000;0.126;-0.075;
