Date;Time;No.;PAR;F1;F2;Fm'1;Fm'2;Fo'1;Fo'2;Y(II)1;Y(II)2;Y(NPQ)1;Y(NPQ)2;Y(NO)1;Y(NO)2;NPQ1;NPQ2;qN1;qN2;qP1;qP2;qL1;qL2;ETR1;ETR2;Abs.1;Abs.2;Inh.1;Inh.2;
22.01.19;08:00:19;1;0;0.2103;0.1711;0.4324;0.3436;0.2103;0.1711;0.514;0.502;0.000;0.000;0.486;0.498;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;  0.0;  0.0;1.000;1.000;0.000;0.022;
22.01.19;08:01:02;2;36;0.2794;0.2245;0.4299;0.3461;0.2097;0.1717;0.350;0.351;0.001;0.000;0.649;0.650;0.000;0.000;0.000;0.000;0.682;0.698;0.512;0.534;  6.3;  6.3;1.000;1.000;0.000;-0.003;
22.01.19;08:01:22;3;36;0.2838;0.2245;0.4029;0.3235;0.2031;0.1659;0.296;0.306;0.050;0.041;0.654;0.653;0.020;0.016;0.129;0.114;0.596;0.627;0.427;0.464;  5.3;  5.5;1.000;1.000;0.000;-0.035;
22.01.19;08:01:42;4;36;0.2750;0.2152;0.3838;0.3069;0.1981;0.1614;0.284;0.299;0.080;0.078;0.637;0.624;0.031;0.031;0.208;0.200;0.584;0.631;0.421;0.474;  5.1;  5.4;1.000;1.000;0.000;-0.054;
22.01.19;08:02:02;5;36;0.2721;0.2098;0.3755;0.3010;0.1959;0.1598;0.275;0.303;0.098;0.087;0.627;0.610;0.039;0.035;0.239;0.231;0.576;0.647;0.415;0.493;  5.0;  5.5;1.000;1.000;0.000;-0.100;
22.01.19;08:02:22;6;36;0.2652;0.2034;0.3681;0.2931;0.1938;0.1576;0.280;0.306;0.107;0.102;0.614;0.592;0.043;0.043;0.271;0.271;0.592;0.663;0.433;0.513;  5.0;  5.5;1.000;1.000;0.000;-0.094;
22.01.19;08:02:42;7;36;0.2618;0.2005;0.3667;0.2912;0.1934;0.1570;0.286;0.311;0.106;0.102;0.608;0.586;0.043;0.043;0.275;0.282;0.604;0.675;0.446;0.528;  5.1;  5.6;1.000;1.000;0.000;-0.089;
22.01.19;08:03:02;8;36;0.2569;0.1971;0.3642;0.2912;0.1928;0.1570;0.295;0.323;0.112;0.101;0.593;0.576;0.047;0.043;0.286;0.282;0.627;0.702;0.471;0.559;  5.3;  5.8;1.000;1.000;0.000;-0.097;
22.01.19;08:03:22;9;36;0.2549;0.1956;0.3623;0.2882;0.1922;0.1561;0.296;0.321;0.112;0.108;0.591;0.570;0.047;0.047;0.290;0.294;0.631;0.702;0.476;0.560;  5.3;  5.8;1.000;1.000;0.000;-0.085;
22.01.19;08:03:42;10;36;0.2510;0.1917;0.3608;0.2873;0.1918;0.1559;0.304;0.333;0.117;0.111;0.578;0.556;0.051;0.051;0.298;0.302;0.651;0.725;0.497;0.590;  5.5;  6.0;1.000;1.000;0.000;-0.093;
22.01.19;08:04:02;11;36;0.2480;0.1922;0.3578;0.2863;0.1910;0.1556;0.307;0.329;0.118;0.114;0.575;0.558;0.051;0.051;0.310;0.306;0.659;0.722;0.507;0.584;  5.5;  5.9;1.000;1.000;0.000;-0.071;
22.01.19;08:04:22;12;36;0.2466;0.1882;0.3574;0.2843;0.1908;0.1550;0.310;0.338;0.118;0.112;0.572;0.550;0.051;0.051;0.310;0.314;0.667;0.741;0.516;0.610;  5.6;  6.1;1.000;1.000;0.000;-0.090;
22.01.19;08:04:42;13;36;0.2417;0.1873;0.3569;0.2828;0.1907;0.1545;0.323;0.338;0.116;0.119;0.561;0.544;0.051;0.055;0.314;0.322;0.694;0.745;0.548;0.615;  5.8;  6.1;1.000;1.000;0.000;-0.047;
22.01.19;08:05:02;14;36;0.2446;0.1873;0.3564;0.2824;0.1905;0.1544;0.314;0.337;0.123;0.119;0.564;0.544;0.055;0.055;0.314;0.325;0.675;0.745;0.525;0.614;  5.6;  6.1;1.000;1.000;0.000;-0.074;
22.01.19;08:05:22;15;36;0.2402;0.1848;0.3559;0.2828;0.1904;0.1545;0.325;0.347;0.121;0.117;0.554;0.536;0.055;0.055;0.318;0.322;0.698;0.765;0.553;0.639;  5.9;  6.2;1.000;1.000;0.000;-0.066;
