Date;Time;No.;PAR;F1;F2;F3;Fm'1;Fm'2;Fm'3;Fo'1;Fo'2;Fo'3;Y(II)1;Y(II)2;Y(II)3;Y(NPQ)1;Y(NPQ)2;Y(NPQ)3;Y(NO)1;Y(NO)2;Y(NO)3;NPQ1;NPQ2;NPQ3;qN1;qN2;qN3;qP1;qP2;qP3;qL1;qL2;qL3;ETR1;ETR2;ETR3;Abs.1;Abs.2;Abs.3;Inh.1;Inh.2;Inh.3;
22.01.19;08:44:36;1;0;0.2363;0.2730;0.2343;0.4181;0.4534;0.3995;0.2363;0.2730;0.2343;0.435;0.398;0.413;0.000;0.000;0.000;0.565;0.602;0.587;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;  0.0;  0.0;  0.0;1.000;0.000;0.000;0.000;0.085;0.049;
22.01.19;08:45:18;2;36;0.2858;0.3216;0.2819;0.4186;0.4593;0.4010;0.2364;0.2752;0.2348;0.317;0.300;0.297;0.000;0.000;0.000;0.683;0.703;0.703;0.000;0.000;0.000;0.000;0.000;0.000;0.729;0.749;0.718;0.603;0.641;0.598;  5.7;  4.5;  4.5;1.000;0.000;0.000;0.000;0.055;0.064;
22.01.19;08:45:38;3;36;0.2848;0.3088;0.2662;0.3975;0.4304;0.3711;0.2296;0.2645;0.2242;0.284;0.282;0.283;0.033;0.034;0.052;0.683;0.684;0.666;0.012;0.012;0.020;0.110;0.122;0.161;0.671;0.733;0.714;0.541;0.628;0.601;  5.1;  4.3;  4.3;1.000;0.000;0.000;0.000;0.004;0.003;
22.01.19;08:45:58;4;36;0.2750;0.2985;0.2578;0.3882;0.4157;0.3657;0.2264;0.2589;0.2223;0.292;0.282;0.295;0.051;0.062;0.061;0.658;0.656;0.644;0.020;0.024;0.024;0.157;0.192;0.192;0.698;0.749;0.753;0.575;0.650;0.649;  5.3;  4.3;  4.5;1.000;0.000;0.000;0.000;0.034;-0.011;
22.01.19;08:46:18;5;36;0.2686;0.2922;0.2520;0.3848;0.4093;0.3618;0.2252;0.2564;0.2208;0.302;0.286;0.304;0.059;0.070;0.068;0.639;0.644;0.628;0.024;0.027;0.027;0.173;0.224;0.212;0.729;0.765;0.780;0.612;0.671;0.684;  5.4;  4.3;  4.6;1.000;0.000;0.000;0.000;0.052;-0.005;
22.01.19;08:46:38;6;36;0.2632;0.2882;0.2490;0.3789;0.4054;0.3554;0.2232;0.2549;0.2184;0.305;0.289;0.299;0.067;0.078;0.078;0.628;0.633;0.623;0.027;0.031;0.031;0.200;0.243;0.243;0.741;0.776;0.776;0.629;0.687;0.681;  5.5;  4.4;  4.5;1.000;0.000;0.000;0.000;0.053;0.020;
22.01.19;08:46:58;7;36;0.2632;0.2863;0.2505;0.3765;0.4025;0.3539;0.2224;0.2537;0.2179;0.301;0.289;0.292;0.069;0.079;0.080;0.630;0.632;0.628;0.027;0.031;0.031;0.212;0.255;0.251;0.733;0.780;0.761;0.619;0.692;0.662;  5.4;  4.4;  4.4;1.000;0.000;0.000;0.000;0.040;0.028;
22.01.19;08:47:18;8;36;0.2603;0.2858;0.2490;0.3750;0.3971;0.3515;0.2219;0.2515;0.2169;0.306;0.280;0.291;0.070;0.089;0.087;0.625;0.631;0.622;0.027;0.035;0.035;0.220;0.278;0.263;0.749;0.765;0.761;0.638;0.673;0.663;  5.5;  4.2;  4.4;1.000;0.000;0.000;0.000;0.084;0.047;
22.01.19;08:47:38;9;36;0.2559;0.2804;0.2461;0.3701;0.3971;0.3485;0.2201;0.2515;0.2158;0.309;0.294;0.294;0.078;0.087;0.088;0.614;0.619;0.618;0.031;0.035;0.035;0.243;0.278;0.278;0.761;0.800;0.773;0.654;0.718;0.677;  5.6;  4.4;  4.4;1.000;0.000;0.000;0.000;0.048;0.047;
22.01.19;08:47:58;10;36;0.2544;0.2789;0.2466;0.3681;0.3951;0.3475;0.2194;0.2507;0.2154;0.309;0.294;0.291;0.085;0.088;0.095;0.606;0.618;0.614;0.035;0.035;0.039;0.251;0.286;0.282;0.765;0.804;0.765;0.660;0.723;0.668;  5.6;  4.4;  4.4;1.000;0.000;0.000;0.000;0.048;0.059;
