Date;Time;No.;PAR;F1;Fm'1;Fo'1;Y(II)1;Y(NPQ)1;Y(NO)1;NPQ1;qN1;qP1;qL1;ETR1;Abs.1;Inh.1;
21.01.19;15:34:10;1;0;0.1245;0.3270;0.1245;0.619;0.000;0.381;0.000;0.000;1.000;1.000;  0.0;0.000;0.000;
21.01.19;15:34:52;2;36;0.2162;0.3299;0.1249;0.345;0.000;0.658;0.000;0.000;0.553;0.320;  5.2;0.000;0.000;
21.01.19;15:35:12;3;36;0.2348;0.3162;0.1229;0.257;0.022;0.720;0.008;0.051;0.420;0.220;  3.9;0.000;0.000;
21.01.19;15:35:32;4;36;0.2240;0.3088;0.1218;0.275;0.043;0.683;0.016;0.090;0.455;0.247;  4.2;0.000;0.000;
21.01.19;15:35:52;5;36;0.2167;0.3044;0.1211;0.288;0.051;0.661;0.020;0.110;0.478;0.267;  4.4;0.000;0.000;
21.01.19;15:36:12;6;36;0.2103;0.3029;0.1209;0.306;0.051;0.643;0.020;0.118;0.510;0.293;  4.6;0.000;0.000;
21.01.19;15:36:32;7;36;0.2054;0.3015;0.1206;0.319;0.050;0.631;0.020;0.125;0.529;0.311;  4.8;0.000;0.000;
21.01.19;15:36:52;8;36;0.2025;0.3005;0.1205;0.326;0.057;0.617;0.024;0.129;0.545;0.324;  4.9;0.000;0.000;
21.01.19;15:37:12;9;36;0.2000;0.3025;0.1208;0.339;0.049;0.612;0.020;0.118;0.565;0.341;  5.1;0.000;0.000;
21.01.19;15:37:32;10;36;0.1985;0.3000;0.1204;0.338;0.056;0.606;0.024;0.129;0.565;0.342;  5.1;0.000;0.000;
21.01.19;15:37:52;11;36;0.1946;0.2980;0.1201;0.347;0.056;0.597;0.024;0.141;0.580;0.358;  5.2;0.000;0.000;
21.01.19;15:38:12;12;36;0.1926;0.2980;0.1201;0.354;0.056;0.590;0.024;0.141;0.592;0.369;  5.3;0.000;0.000;
21.01.19;15:38:32;13;36;0.1877;0.2990;0.1202;0.372;0.054;0.574;0.024;0.133;0.624;0.399;  5.6;0.000;0.000;
21.01.19;15:38:52;14;36;0.1853;0.2995;0.1203;0.381;0.053;0.565;0.024;0.133;0.639;0.415;  5.8;0.000;0.000;
21.01.19;15:39:12;15;36;0.1848;0.2951;0.1196;0.374;0.061;0.565;0.027;0.153;0.627;0.406;  5.7;0.000;0.000;
