Date;Time;No.;PAR;F1;Fm'1;Fo'1;Y(II)1;Y(NPQ)1;Y(NO)1;NPQ1;qN1;qP1;qL1;ETR1;Abs.1;Inh.1;
22.01.19;13:35:43;1;0;0.1475;0.2912;0.1475;0.493;0.000;0.507;0.000;0.000;1.000;1.000;  0.0;0.000;0.000;
22.01.19;13:36:25;2;36;0.2098;0.2907;0.1474;0.278;0.000;0.721;0.000;0.000;0.565;0.397;  4.2;0.000;0.000;
22.01.19;13:36:45;3;36;0.1848;0.2382;0.1326;0.224;0.140;0.636;0.055;0.333;0.506;0.363;  3.4;0.000;0.000;
22.01.19;13:37:05;4;36;0.1706;0.2235;0.1279;0.237;0.176;0.588;0.075;0.416;0.553;0.415;  3.6;0.000;0.000;
22.01.19;13:37:25;5;36;0.1632;0.2123;0.1242;0.231;0.210;0.559;0.094;0.471;0.557;0.424;  3.5;0.000;0.000;
22.01.19;13:37:45;6;36;0.1569;0.2132;0.1245;0.264;0.196;0.540;0.090;0.467;0.635;0.504;  4.0;0.000;0.000;
22.01.19;13:38:05;7;36;0.1549;0.2093;0.1231;0.260;0.208;0.532;0.098;0.486;0.631;0.502;  3.9;0.000;0.000;
22.01.19;13:38:25;8;36;0.1515;0.2083;0.1228;0.273;0.206;0.521;0.098;0.490;0.667;0.540;  4.1;0.000;0.000;
22.01.19;13:38:45;9;36;0.1525;0.2157;0.1253;0.293;0.182;0.525;0.086;0.455;0.698;0.574;  4.4;0.000;0.000;
22.01.19;13:39:05;10;36;0.1534;0.2176;0.1260;0.295;0.180;0.525;0.086;0.447;0.702;0.576;  4.5;0.000;0.000;
