Date;Time;No.;PAR;F1;F2;Fm'1;Fm'2;Fo'1;Fo'2;Y(II)1;Y(II)2;Y(NPQ)1;Y(NPQ)2;Y(NO)1;Y(NO)2;NPQ1;NPQ2;qN1;qN2;qP1;qP2;qL1;qL2;ETR1;ETR2;Abs.1;Abs.2;Inh.1;Inh.2;
22.01.19;13:29:23;1;0;0.1907;0.1799;0.4328;0.3902;0.1907;0.1799;0.559;0.539;0.000;0.000;0.441;0.461;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;  0.0;  0.0;0.000;0.000;0.000;0.037;
22.01.19;13:30:05;2;36;0.3015;0.2480;0.4314;0.3902;0.1904;0.1799;0.301;0.364;0.000;0.000;0.699;0.636;0.000;0.000;0.000;0.000;0.537;0.675;0.339;0.489;  4.6;  5.5;0.000;0.000;0.000;-0.210;
22.01.19;13:30:25;3;36;0.3059;0.2515;0.4059;0.3706;0.1853;0.1756;0.246;0.321;0.046;0.032;0.708;0.647;0.016;0.012;0.110;0.090;0.455;0.612;0.276;0.427;  3.7;  4.9;0.000;0.000;0.000;-0.305;
22.01.19;13:30:45;4;36;0.2941;0.2412;0.3926;0.3613;0.1825;0.1735;0.251;0.332;0.074;0.049;0.675;0.619;0.027;0.020;0.161;0.133;0.471;0.639;0.292;0.460;  3.8;  5.0;0.000;0.000;0.000;-0.325;
22.01.19;13:31:05;5;36;0.2882;0.2358;0.3868;0.3559;0.1812;0.1722;0.255;0.337;0.082;0.058;0.663;0.605;0.031;0.024;0.184;0.157;0.478;0.655;0.301;0.478;  3.9;  5.1;0.000;0.000;0.000;-0.325;
22.01.19;13:31:25;6;36;0.2814;0.2279;0.3819;0.3544;0.1801;0.1719;0.263;0.357;0.090;0.057;0.647;0.586;0.035;0.024;0.200;0.165;0.498;0.694;0.319;0.523;  4.0;  5.4;0.000;0.000;0.000;-0.356;
22.01.19;13:31:45;7;36;0.2789;0.2270;0.3765;0.3505;0.1789;0.1710;0.259;0.352;0.100;0.064;0.641;0.583;0.039;0.027;0.224;0.180;0.494;0.686;0.317;0.517;  3.9;  5.3;0.000;0.000;0.000;-0.360;
22.01.19;13:32:05;8;36;0.2740;0.2275;0.3750;0.3510;0.1786;0.1711;0.269;0.352;0.099;0.064;0.632;0.584;0.039;0.027;0.227;0.180;0.514;0.686;0.335;0.516;  4.1;  5.3;0.000;0.000;0.000;-0.307;
22.01.19;13:32:25;9;36;0.2706;0.2235;0.3721;0.3480;0.1779;0.1704;0.273;0.358;0.099;0.071;0.628;0.571;0.039;0.031;0.239;0.192;0.522;0.702;0.343;0.535;  4.1;  5.4;0.000;0.000;0.000;-0.312;
22.01.19;13:32:45;10;36;0.2686;0.2201;0.3632;0.3475;0.1758;0.1703;0.260;0.367;0.118;0.070;0.622;0.564;0.047;0.031;0.271;0.192;0.506;0.718;0.331;0.555;  3.9;  5.5;0.000;0.000;0.000;-0.408;
