Date,Time,No.,PAR,F1,F2,F3,Fm'1,Fm'2,Fm'3,Fo'1,Fo'2,Fo'3,EY1,EY2,EY3,m1,m2,m3,Y(II)1,Y(II)2,Y(II)3,Y(NPQ)1,Y(NPQ)2,Y(NPQ)3,Y(NO)1,Y(NO)2,Y(NO)3,NPQ1,NPQ2,NPQ3,qN1,qN2,qN3,qP1,qP2,qP3,qL1,qL2,qL3,ETR1,ETR2,ETR3,Abs.1,Abs.2,Abs.3,Inh.1,Inh.2,Inh.3
18.01.19,15:22:12,1,0,0.2123,0.2157,0.2172,0.3593,0.3373,0.3902,0.2123,0.2157,0.2172,0.409128862,0.360509932,0.443362378,0,0,0,0.409,0.36,0.443,0,0,0,0.591,0.64,0.557,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0.119,-0.084
18.01.19,15:22:23,2,1,0.2108,0.2152,0.2181,0.3603,0.3363,0.3853,0.2126,0.2153,0.2156,0.414932001,0.360095153,0.433947573,0.414932001,0.360095153,0.433947573,0.415,0.36,0.434,0,0,0.003,0.591,0.64,0.563,0,0,0,0,0,0,1,1,0.984,1,1,0.973,0.2,0.2,0.2,1,1,1,0,0.132,-0.045
18.01.19,15:22:33,3,11,0.2314,0.2324,0.2417,0.3676,0.3466,0.3936,0.2151,0.2195,0.2182,0.370511425,0.32948644,0.385924797,4.07562568,3.624350837,4.245172764,0.371,0.33,0.386,0,0,0,0.635,0.677,0.616,0,0,0,0,0,0,0.894,0.898,0.867,0.831,0.848,0.783,2,1.8,2.1,1,1,1,0,0.111,-0.042
18.01.19,15:22:44,4,21,0.2495,0.249,0.2588,0.3534,0.3402,0.3882,0.2102,0.2169,0.2165,0.294001132,0.268077601,0.333333333,6.174023769,5.62962963,7,0.294,0.268,0.333,0.003,0,0.001,0.703,0.733,0.666,0,0,0,0,0,0,0.725,0.741,0.753,0.611,0.646,0.63,3.1,2.8,3.5,1,1,1,0,0.089,-0.134
18.01.19,15:22:54,5,36,0.2539,0.2544,0.2686,0.3495,0.3353,0.3799,0.2088,0.2149,0.2139,0.273533619,0.241276469,0.292971835,9.8472103,8.685952878,10.54698605,0.273,0.241,0.293,0.021,0.001,0.021,0.705,0.758,0.686,0.008,0,0.008,0.067,0,0.059,0.678,0.671,0.671,0.558,0.566,0.534,4.9,4.3,5.3,1,1,1,0,0.118,-0.071
18.01.19,15:23:04,6,81,0.2838,0.2779,0.3064,0.3417,0.3279,0.373,0.206,0.2118,0.2117,0.169446883,0.152485514,0.178552279,13.72519754,12.35132662,14.46273458,0.169,0.152,0.179,0.038,0.026,0.036,0.792,0.822,0.785,0.012,0.008,0.012,0.114,0.075,0.098,0.427,0.431,0.412,0.31,0.329,0.285,6.9,6.2,7.2,1,1,1,0,0.099,-0.056
18.01.19,15:23:14,7,146,0.2951,0.2868,0.3225,0.3328,0.3211,0.3652,0.2027,0.209,0.2092,0.11328125,0.106820305,0.116922234,16.5390625,15.59576456,17.07064622,0.113,0.107,0.117,0.065,0.04,0.053,0.822,0.853,0.83,0.02,0.012,0.016,0.169,0.125,0.137,0.29,0.306,0.275,0.199,0.223,0.178,8.3,7.8,8.5,1,1,1,0,0.058,-0.03
18.01.19,15:23:24,8,281,0.302,0.2902,0.3319,0.3206,0.3093,0.3529,0.1981,0.2039,0.2051,0.05801622,0.061752344,0.059506942,16.3025577,17.35240866,16.72145084,0.058,0.062,0.06,0.105,0.08,0.092,0.837,0.858,0.848,0.031,0.024,0.027,0.239,0.208,0.2,0.153,0.18,0.141,0.1,0.127,0.087,8.2,8.7,8.4,1,1,1,0,-0.064,-0.028
18.01.19,15:23:34,9,611,0.2975,0.2868,0.3279,0.3,0.2922,0.3363,0.1901,0.1963,0.1994,0.008333333,0.018480493,0.024977698,5.091666667,11.29158111,15.26137377,0,0.018,0.025,0.169,0.117,0.133,0.831,0.864,0.842,0.051,0.039,0.039,0.349,0.322,0.282,0,0,0.063,0,0,0.038,0,5.6,7.6,1,1,1,0,0,0
18.01.19,15:23:44,10,926,0.2824,0.2711,0.3083,0.2828,0.2779,0.3157,0.183,0.1898,0.1919,0.001414427,0.024469234,0.023439975,1.309759547,22.65851026,21.70541653,0,0.025,0.023,0.211,0.155,0.167,0.789,0.82,0.81,0.067,0.055,0.059,0.435,0.404,0.376,0,0,0,0,0,0,0,11.4,10.8,1,1,1,0,0,0
18.01.19,15:23:54,11,1251,0.2652,0.2569,0.2946,0.2667,0.2608,0.2966,0.1761,0.1816,0.1847,0.005624297,0.014953988,0.006743088,7.035995501,18.70743865,8.435603506,0,0,0,0.257,0.23,0.239,0.743,0.77,0.761,0.086,0.075,0.078,0.506,0.49,0.455,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
