Date,Time,No.,PAR,F1,F2,F3,Fm'1,Fm'2,Fm'3,Fo'1,Fo'2,Fo'3,EY1,EY2,EY3,m1,m2,m3,Y(II)1,Y(II)2,Y(II)3,Y(NPQ)1,Y(NPQ)2,Y(NPQ)3,Y(NO)1,Y(NO)2,Y(NO)3,NPQ1,NPQ2,NPQ3,qN1,qN2,qN3,qP1,qP2,qP3,qL1,qL2,qL3,ETR1,ETR2,ETR3,Abs.1,Abs.2,Abs.3,Inh.1,Inh.2,Inh.3
18.01.19,12:57:34,1,0,0.2118,0.223,0.2123,0.3814,0.3544,0.4005,0.2118,0.223,0.2123,0.444677504,0.370767494,0.469912609,0,0,0,0.445,0.371,0.47,0,0,0,0.555,0.629,0.53,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0.167,-0.057
18.01.19,12:57:45,2,1,0.2083,0.2152,0.2167,0.3784,0.3539,0.3966,0.2109,0.2228,0.2111,0.449524313,0.391918621,0.453605648,0.449524313,0.391918621,0.453605648,0.449,0.392,0.454,0,0,0.002,0.555,0.629,0.544,0,0,0,0,0,0,1,1,0.969,1,1,0.944,0.2,0.2,0.2,0,0,0,0,0.128,-0.009
18.01.19,12:57:55,3,11,0.2373,0.2358,0.2667,0.3838,0.3593,0.4078,0.2125,0.225,0.2143,0.381709224,0.343723908,0.346002943,4.198801459,3.780962984,3.806032369,0.382,0.344,0.346,0,0,0,0.62,0.66,0.658,0,0,0,0,0,0,0.855,0.918,0.729,0.766,0.876,0.586,1.8,1.6,1.6,0,0,0,0,0.1,0.094
18.01.19,12:58:05,4,21,0.2637,0.2544,0.3196,0.3775,0.3564,0.4005,0.2106,0.2238,0.2123,0.301456954,0.286195286,0.201997503,6.330596026,6.01010101,4.241947566,0.301,0.286,0.202,0.002,0,0.001,0.696,0.715,0.797,0,0,0,0,0,0,0.682,0.769,0.431,0.545,0.676,0.286,2.7,2.5,1.8,0,0,0,0,0.05,0.33
18.01.19,12:58:15,5,36,0.2725,0.2623,0.3343,0.3735,0.3505,0.3931,0.2093,0.2215,0.2102,0.270414993,0.251640514,0.149580259,9.734939759,9.059058488,5.384889341,0.27,0.252,0.15,0.004,0.002,0.002,0.725,0.747,0.848,0,0,0,0,0,0,0.616,0.682,0.322,0.473,0.576,0.202,4.1,3.8,2.3,0,0,0,0,0.069,0.447
18.01.19,12:58:25,6,81,0.3088,0.2936,0.3662,0.3657,0.3446,0.3863,0.2068,0.2191,0.2082,0.155592015,0.147997678,0.052032099,12.60295324,11.98781196,4.214600052,0.155,0.148,0.052,0.037,0.026,0.029,0.807,0.826,0.919,0.012,0.008,0.008,0.09,0.071,0.075,0.357,0.408,0.114,0.239,0.304,0.065,5.3,5,1.8,0,0,0,0,0.049,0.665
18.01.19,12:58:35,7,146,0.3265,0.3069,0.3755,0.3574,0.3417,0.3809,0.2041,0.2179,0.2066,0.08645775,0.101843723,0.014176949,12.62283156,14.86918349,2.069834602,0.086,0.102,0.014,0.054,0.028,0.031,0.86,0.87,0.955,0.016,0.008,0.012,0.137,0.094,0.102,0.2,0.282,0,0.125,0.201,0,5.3,6.2,0.9,0,0,0,0,-0.179,0.836
18.01.19,12:58:45,8,281,0.3314,0.3127,0.3701,0.3466,0.3309,0.3711,0.2006,0.2135,0.2037,0.043854587,0.055001511,0.002694691,12.32313907,15.4554246,0.7572083,0.044,0.055,0,0.083,0.068,0.073,0.873,0.877,0.927,0.024,0.02,0.02,0.192,0.169,0.149,0.106,0.153,0,0.064,0.104,0,5.2,6.5,0,0,0,0,0,-0.25,1
18.01.19,12:58:55,9,611,0.3255,0.3069,0.3549,0.3304,0.3162,0.3525,0.1951,0.2073,0.198,0.014830508,0.029411765,-0.006808511,9.061440678,17.97058824,-4.16,0.015,0.029,0,0.121,0.108,0.124,0.864,0.862,0.876,0.039,0.031,0.035,0.275,0.259,0.235,0,0.086,0,0,0.058,0,3.8,7.6,0,0,0,0,0,-0.985,1
18.01.19,12:59:05,10,926,0.3113,0.2956,0.3343,0.3118,0.2975,0.3304,0.1884,0.1991,0.1908,0.001603592,0.006386555,-0.011803874,1.484926235,5.91394958,-10.93038741,0,0,0,0.18,0.158,0.18,0.82,0.842,0.82,0.055,0.047,0.055,0.361,0.365,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.01.19,12:59:15,11,1251,0.2868,0.274,0.3093,0.2936,0.2804,0.3098,0.1816,0.1913,0.1837,0.023160763,0.022824536,0.001613944,28.97411444,28.55349501,2.019044545,0.023,0.023,0,0.206,0.188,0.23,0.77,0.789,0.77,0.075,0.067,0.075,0.439,0.455,0.42,0,0,0,0,0,0,12.3,11.9,0,0,0,0,0,0.028,1
