Date,Time,No.,PAR,F1,F2,F3,Fm'1,Fm'2,Fm'3,Fo'1,Fo'2,Fo'3,EY1,EY2,EY3,m1,m2,m3,Y(II)1,Y(II)2,Y(II)3,Y(NPQ)1,Y(NPQ)2,Y(NPQ)3,Y(NO)1,Y(NO)2,Y(NO)3,NPQ1,NPQ2,NPQ3,qN1,qN2,qN3,qP1,qP2,qP3,qL1,qL2,qL3,ETR1,ETR2,ETR3,Abs.1,Abs.2,Abs.3,Inh.1,Inh.2,Inh.3
18.01.19,14:48:48,1,0,0.226,0.2475,0.2436,0.3784,0.4377,0.3956,0.226,0.2475,0.2436,0.402748414,0.434544208,0.384226491,0,0,0,0.403,0.434,0.384,0,0,0,0.597,0.566,0.616,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,-0.079,0.046
18.01.19,14:48:58,2,3,0.223,0.2539,0.2333,0.3725,0.4402,0.3931,0.2239,0.2483,0.2427,0.401342282,0.42321672,0.406512338,1.204026846,1.269650159,1.219537013,0.401,0.423,0.406,0.002,0,0,0.597,0.578,0.616,0,0,0,0,0,0,1,0.973,1,1,0.951,1,0.6,0.6,0.6,1,1,1,0,-0.054,-0.013
18.01.19,14:49:09,3,13,0.2368,0.3461,0.2608,0.376,0.4539,0.4049,0.2251,0.2526,0.2471,0.370212766,0.237497246,0.355890343,4.812765957,3.087464199,4.626574463,0.37,0.238,0.356,0.001,0,0,0.628,0.768,0.649,0,0,0,0,0,0,0.922,0.537,0.914,0.876,0.392,0.866,2.4,1.5,2.3,1,1,1,0,0.358,0.039
18.01.19,14:49:19,4,23,0.2446,0.4015,0.2696,0.3662,0.4515,0.3907,0.2216,0.2519,0.2418,0.332058984,0.110741971,0.309956488,7.637356636,2.547065338,7.128999232,0.332,0.111,0.31,0.02,0,0.002,0.648,0.892,0.688,0.008,0,0,0.078,0,0,0.839,0.251,0.812,0.76,0.157,0.728,3.8,1.3,3.6,1,1,1,0,0.666,0.067
18.01.19,14:49:29,5,38,0.2525,0.4172,0.2716,0.3608,0.451,0.3824,0.2196,0.2517,0.2385,0.300166297,0.074944568,0.289748954,11.40631929,2.84789357,11.01046025,0.3,0.075,0.29,0.032,0,0.022,0.668,0.927,0.688,0.012,0,0.008,0.11,0,0.082,0.769,0.169,0.769,0.669,0.102,0.675,5.7,1.4,5.5,1,1,1,0,0.75,0.035
18.01.19,14:49:39,6,83,0.2838,0.4382,0.3005,0.3574,0.4417,0.374,0.2183,0.2488,0.2353,0.205931729,0.00792393,0.196524064,17.09233352,0.657686212,16.31149733,0.206,0,0.197,0.047,0,0.047,0.748,1,0.757,0.016,0,0.016,0.133,0,0.133,0.529,0,0.529,0.407,0,0.415,8.5,0,8.2,1,1,1,0,1,0.045
18.01.19,14:49:49,7,148,0.3078,0.4402,0.3225,0.3471,0.4324,0.3603,0.2144,0.2458,0.2298,0.113223855,-0.018038853,0.104912573,16.75713051,-2.669750231,15.52706078,0.113,0,0.105,0.076,0,0.078,0.811,1,0.818,0.024,0,0.024,0.192,0,0.212,0.294,0,0.29,0.205,0,0.207,8.4,0,7.8,1,1,1,0,1,0.073
18.01.19,14:49:59,8,283,0.3206,0.4299,0.3338,0.3392,0.4221,0.352,0.2114,0.2425,0.2263,0.054834906,-0.018479033,0.051704545,15.5182783,-5.229566453,14.63238636,0.055,0,0.052,0.094,0.03,0.106,0.852,0.97,0.843,0.027,0.008,0.031,0.235,0.078,0.259,0.145,0,0.145,0.096,0,0.098,7.8,0,7.3,1,1,1,0,1,0.062
18.01.19,14:50:09,9,613,0.3142,0.4064,0.327,0.327,0.401,0.3368,0.2066,0.2353,0.22,0.039143731,-0.013466334,0.029097387,23.99510703,-8.254862843,17.83669834,0.039,0,0.029,0.13,0.086,0.142,0.831,0.914,0.828,0.039,0.024,0.043,0.298,0.18,0.333,0.106,0,0.082,0.07,0,0.055,11.9,0,8.9,1,1,1,0,1,0.253
18.01.19,14:50:19,10,928,0.3064,0.3779,0.3152,0.3103,0.3735,0.3181,0.1998,0.2256,0.2119,0.012568482,-0.011780455,0.00911663,11.6635514,-10.93226238,8.460232631,0,0,0,0.18,0.147,0.201,0.82,0.853,0.799,0.055,0.043,0.063,0.38,0.302,0.42,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
18.01.19,14:50:29,11,1253,0.2907,0.3441,0.2946,0.2951,0.3456,0.2985,0.1934,0.2151,0.203,0.0149102,0.004340278,0.013065327,18.68248052,5.438368056,16.37085427,0.015,0,0,0.205,0.211,0.248,0.78,0.789,0.752,0.071,0.067,0.082,0.451,0.416,0.506,0,0,0,0,0,0,9.4,0,0,1,1,1,0,1,1
