Date,Time,No.,PAR,F1,Fm'1,Fo'1,EY1,m1,Y(II)1,Y(NPQ)1,Y(NO)1,NPQ1,qN1,qP1,qL1,ETR1,Abs.1,Inh.1
18.01.19,15:56:46,1,0,0.2745,0.4892,0.2745,0.438879804,0,0.439,0,0.561,0,0,1,1,0,1,0
18.01.19,15:56:57,2,1,0.2843,0.4828,0.2725,0.411143331,0.411143331,0.411,0.004,0.585,0,0,0.945,0.906,0.2,1,0
18.01.19,15:57:07,3,11,0.2926,0.4775,0.2708,0.387225131,4.25947644,0.387,0.017,0.596,0.008,0.055,0.894,0.827,2.1,1,0
18.01.19,15:57:17,4,21,0.3054,0.4613,0.2655,0.337957945,7.097116844,0.338,0.039,0.623,0.016,0.125,0.796,0.692,3.5,1,0
18.01.19,15:57:27,5,36,0.3172,0.4495,0.2615,0.29432703,10.59577308,0.294,0.06,0.645,0.024,0.173,0.706,0.582,5.3,1,0
18.01.19,15:57:37,6,81,0.3603,0.4387,0.2579,0.178709824,14.47549578,0.179,0.082,0.739,0.027,0.22,0.435,0.312,7.2,1,0
18.01.19,15:57:47,7,146,0.3755,0.4255,0.2532,0.117508813,17.15628672,0.118,0.119,0.763,0.039,0.271,0.29,0.196,8.6,1,0
18.01.19,15:57:57,8,281,0.3824,0.4098,0.2476,0.066861884,18.78818936,0.067,0.148,0.785,0.047,0.329,0.169,0.109,9.4,1,0
18.01.19,15:58:07,9,611,0.377,0.3892,0.2399,0.031346351,19.15262076,0.031,0.195,0.774,0.063,0.4,0.082,0.052,9.6,1,0
18.01.19,15:58:17,10,926,0.3588,0.3642,0.2302,0.014827018,13.72981878,0.015,0.242,0.743,0.086,0.482,0,0,6.9,1,0
18.01.19,15:58:27,11,1251,0.3299,0.3368,0.2189,0.020486936,25.62915677,0.02,0.292,0.687,0.114,0.565,0,0,12.7,1,0
