Date,Time,No.,PAR,F1,F2,F3,Fm'1,Fm'2,Fm'3,Fo'1,Fo'2,Fo'3,EY1,EY2,EY3,m1,m2,m3,Y(II)1,Y(II)2,Y(II)3,Y(NPQ)1,Y(NPQ)2,Y(NPQ)3,Y(NO)1,Y(NO)2,Y(NO)3,NPQ1,NPQ2,NPQ3,qN1,qN2,qN3,qP1,qP2,qP3,qL1,qL2,qL3,ETR1,ETR2,ETR3,Abs.1,Abs.2,Abs.3,Inh.1,Inh.2,Inh.3
18.01.19,15:34:53,1,0,0.2319,0.2201,0.2353,0.4127,0.4358,0.4377,0.2319,0.2201,0.2353,0.438090623,0.494951813,0.462417181,0,0,0,0.438,0.495,0.462,0,0,0,0.562,0.505,0.538,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,-0.129,-0.055
18.01.19,15:35:04,2,1,0.2333,0.2216,0.2397,0.4078,0.4289,0.4387,0.2303,0.2183,0.2356,0.427905836,0.483329447,0.453612947,0.427905836,0.483329447,0.453612947,0.428,0.483,0.454,0.003,0.004,0,0.569,0.513,0.547,0,0,0,0,0,0,0.984,0.984,0.98,0.972,0.97,0.964,0.2,0.2,0.2,1,1,1,0,-0.13,-0.06
18.01.19,15:35:14,3,11,0.248,0.2363,0.2554,0.4074,0.4284,0.4382,0.2302,0.2182,0.2354,0.391261659,0.448412698,0.417161114,4.303878252,4.932539683,4.58877225,0.391,0.449,0.417,0.003,0.004,0,0.606,0.547,0.583,0,0,0,0,0,0,0.898,0.914,0.902,0.833,0.844,0.831,2.2,2.5,2.3,1,1,1,0,-0.147,-0.067
18.01.19,15:35:24,4,21,0.2583,0.2559,0.2721,0.3961,0.4142,0.4245,0.2265,0.2145,0.2314,0.347891946,0.382182521,0.359010601,7.305730876,8.025832931,7.539222615,0.348,0.382,0.359,0.028,0.029,0.019,0.624,0.589,0.622,0.012,0.012,0.008,0.09,0.098,0.063,0.812,0.792,0.788,0.712,0.664,0.67,3.7,4,3.8,1,1,1,0,-0.099,-0.033
18.01.19,15:35:34,5,36,0.2623,0.2676,0.2809,0.3897,0.4083,0.4167,0.2244,0.2129,0.2291,0.326918142,0.344599559,0.325893928,11.76905312,12.40558413,11.73218143,0.327,0.345,0.326,0.039,0.04,0.031,0.634,0.615,0.643,0.016,0.016,0.012,0.122,0.122,0.102,0.773,0.722,0.725,0.661,0.574,0.592,5.9,6.2,5.9,1,1,1,0,-0.053,0.004
18.01.19,15:35:44,6,81,0.2897,0.3039,0.3191,0.3799,0.3985,0.4069,0.2211,0.2102,0.2261,0.237430903,0.237390213,0.215777832,19.23190313,19.22860728,17.47800442,0.237,0.237,0.216,0.065,0.065,0.057,0.698,0.697,0.727,0.024,0.024,0.02,0.173,0.165,0.145,0.569,0.502,0.486,0.434,0.347,0.344,9.6,9.6,8.7,1,1,1,0,0,0.092
18.01.19,15:35:54,7,146,0.3098,0.3275,0.3368,0.3701,0.3902,0.3922,0.2178,0.2078,0.2215,0.162928938,0.160686827,0.141254462,23.78762497,23.46027678,20.62315145,0.163,0.161,0.141,0.084,0.084,0.086,0.754,0.755,0.773,0.027,0.027,0.027,0.22,0.2,0.212,0.396,0.345,0.325,0.278,0.219,0.214,11.9,11.7,10.3,1,1,1,0,0.013,0.133
18.01.19,15:36:04,8,281,0.3221,0.3407,0.35,0.3583,0.373,0.3828,0.2136,0.2029,0.2185,0.101032654,0.086595174,0.085684431,28.39017583,24.33324397,24.07732497,0.101,0.087,0.086,0.122,0.133,0.113,0.777,0.78,0.801,0.039,0.043,0.035,0.275,0.271,0.251,0.251,0.188,0.2,0.166,0.112,0.125,14.2,12.2,12.1,1,1,1,0,0.143,0.153
18.01.19,15:36:14,9,611,0.2319,0.2319,0.2304,0.35,0.3706,0.3696,0.2106,0.2021,0.2141,0.337428571,0.37425796,0.376623377,206.1688571,228.6716136,230.1168831,0.338,0.374,0.377,0.098,0.093,0.098,0.564,0.533,0.525,0.043,0.043,0.047,0.31,0.278,0.306,0.847,0.824,0.894,0.77,0.718,0.831,103.1,114.4,115.1,1,1,1,0,-0.109,-0.116
18.01.19,15:36:24,10,926,0.3132,0.3314,0.3412,0.325,0.3417,0.3475,0.2013,0.1932,0.2065,0.036307692,0.030143401,0.018129496,33.62092308,27.912789,16.78791367,0.036,0.03,0.018,0.203,0.214,0.192,0.761,0.756,0.789,0.067,0.071,0.067,0.416,0.388,0.388,0.094,0.071,0,0.06,0.041,0,16.8,13.9,8.5,1,1,1,0,0.168,0.493
18.01.19,15:36:34,11,1251,0.2961,0.3132,0.3172,0.301,0.3152,0.3221,0.1918,0.1845,0.1972,0.01627907,0.006345178,0.015212667,20.36511628,7.937817259,19.03104626,0.016,0,0.015,0.257,0.274,0.25,0.726,0.726,0.735,0.094,0.094,0.09,0.506,0.478,0.482,0,0,0,0,0,0,10.2,0,9.5,1,1,1,0,1,0.065
