Date,Time,No.,PAR,F1,F2,F3,Fm'1,Fm'2,Fm'3,Fo'1,Fo'2,Fo'3,EY1,EY2,EY3,m1,m2,m3,Y(II)1,Y(II)2,Y(II)3,Y(NPQ)1,Y(NPQ)2,Y(NPQ)3,Y(NO)1,Y(NO)2,Y(NO)3,NPQ1,NPQ2,NPQ3,qN1,qN2,qN3,qP1,qP2,qP3,qL1,qL2,qL3,ETR1,ETR2,ETR3,Abs.1,Abs.2,Abs.3,Inh.1,Inh.2,Inh.3
18.01.19,13:02:37,1,0,0.2348,0.2225,0.2034,0.4132,0.3902,0.3446,0.2348,0.2225,0.2034,0.431752178,0.4297796,0.409750435,0,0,0,0.432,0.43,0.41,0,0,0,0.568,0.57,0.59,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0.005,0.051
18.01.19,13:02:49,2,1,0.2304,0.2225,0.1971,0.4093,0.3917,0.3461,0.2335,0.223,0.2039,0.437087711,0.431963237,0.430511413,0.437087711,0.431963237,0.430511413,0.437,0.432,0.431,0,0,0,0.568,0.57,0.59,0,0,0,0,0,0,1,1,1,1,1,1,0.2,0.2,0.2,1,1,1,0,0.012,0.015
18.01.19,13:02:59,3,11,0.2549,0.2534,0.2211,0.4181,0.398,0.3525,0.2364,0.2251,0.2061,0.39033724,0.363316583,0.372765957,4.293709639,3.996482412,4.100425532,0.39,0.363,0.373,0,0,0,0.612,0.642,0.632,0,0,0,0,0,0,0.898,0.835,0.898,0.833,0.742,0.837,2.1,2,2.1,1,1,1,0,0.069,0.045
18.01.19,13:03:09,4,21,0.2799,0.2775,0.2407,0.4127,0.3897,0.3436,0.2346,0.2224,0.2031,0.321783378,0.28791378,0.299476135,6.757450933,6.046189376,6.288998836,0.322,0.288,0.3,0,0,0.001,0.678,0.712,0.7,0,0,0,0,0,0,0.745,0.671,0.733,0.625,0.538,0.619,3.4,3,3.1,1,1,1,0,0.105,0.069
18.01.19,13:03:19,5,36,0.2907,0.2882,0.2446,0.4074,0.3828,0.3392,0.2329,0.2201,0.2015,0.286450663,0.247126437,0.278891509,10.31222386,8.896551724,10.04009434,0.286,0.247,0.279,0.004,0.003,0.003,0.71,0.75,0.718,0,0,0,0,0,0,0.671,0.58,0.686,0.537,0.443,0.565,5.2,4.4,5,1,1,1,0,0.137,0.026
18.01.19,13:03:29,6,81,0.3324,0.3211,0.2735,0.4015,0.3775,0.3338,0.231,0.2183,0.1996,0.172104608,0.149403974,0.180647094,13.94047323,12.10172185,14.63241462,0.172,0.149,0.181,0.024,0.026,0.026,0.803,0.825,0.794,0.008,0.008,0.008,0.063,0.075,0.075,0.404,0.353,0.451,0.281,0.24,0.329,7,6,7.3,1,1,1,0,0.132,-0.049
18.01.19,13:03:39,7,146,0.3485,0.3338,0.2882,0.3892,0.3676,0.3255,0.2268,0.215,0.1966,0.104573484,0.091947769,0.114592934,15.26772867,13.42437432,16.73056836,0.105,0.092,0.114,0.053,0.054,0.052,0.843,0.854,0.833,0.016,0.016,0.016,0.129,0.129,0.129,0.251,0.224,0.29,0.163,0.144,0.198,7.6,6.7,8.4,1,1,1,0,0.12,-0.095
18.01.19,13:03:49,8,281,0.3608,0.3412,0.299,0.3819,0.3549,0.3167,0.2243,0.2106,0.1934,0.055250065,0.038602423,0.055888854,15.52526839,10.84728092,15.70476792,0.055,0.039,0.056,0.069,0.083,0.08,0.876,0.879,0.864,0.02,0.024,0.024,0.165,0.196,0.184,0.133,0.094,0.141,0.083,0.058,0.091,7.8,5.4,7.8,1,1,1,0,0.299,-0.01
18.01.19,13:03:59,9,611,0.351,0.3319,0.2926,0.3618,0.3387,0.301,0.2172,0.2048,0.1874,0.029850746,0.020076764,0.027906977,18.23880597,12.26690286,17.05116279,0.03,0.02,0.028,0.12,0.115,0.121,0.85,0.864,0.852,0.035,0.039,0.035,0.263,0.278,0.278,0.075,0,0.075,0.046,0,0.048,9.1,6.2,8.5,1,1,1,0,0.32,0.071
18.01.19,13:04:09,10,926,0.3348,0.3157,0.2804,0.3431,0.3211,0.2877,0.2104,0.1982,0.1822,0.024191198,0.016817191,0.025373653,22.40104926,15.57271878,23.49600278,0.024,0.017,0.026,0.165,0.163,0.144,0.81,0.82,0.831,0.051,0.055,0.051,0.345,0.361,0.349,0.063,0,0,0.039,0,0,11.2,7.8,11.8,1,1,1,0,0.308,-0.052
18.01.19,13:04:19,11,1251,0.3196,0.2985,0.2672,0.3216,0.3015,0.2676,0.2021,0.1906,0.1739,0.006218905,0.009950249,0.001494768,7.779850746,12.44776119,1.869955157,0,0,0,0.22,0.23,0.22,0.78,0.77,0.78,0.071,0.075,0.071,0.435,0.443,0.451,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
