Date,Time,No.,PAR,F1,F2,F3,Fm'1,Fm'2,Fm'3,Fo'1,Fo'2,Fo'3,EY1,EY2,EY3,m1,m2,m3,Y(II)1,Y(II)2,Y(II)3,Y(NPQ)1,Y(NPQ)2,Y(NPQ)3,Y(NO)1,Y(NO)2,Y(NO)3,NPQ1,NPQ2,NPQ3,qN1,qN2,qN3,qP1,qP2,qP3,qL1,qL2,qL3,ETR1,ETR2,ETR3,Abs.1,Abs.2,Abs.3,Inh.1,Inh.2,Inh.3
18.01.19,14:52:56,1,0,0.2324,0.2402,0.2456,0.3681,0.4044,0.374,0.2324,0.2402,0.2456,0.368649823,0.40603363,0.343315508,0,0,0,0.369,0.406,0.343,0,0,0,0.631,0.594,0.657,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,-0.101,0.069
18.01.19,14:53:07,2,3,0.2377,0.2446,0.2441,0.3706,0.4,0.376,0.2333,0.2386,0.2464,0.358607663,0.3885,0.350797872,1.07582299,1.1655,1.052393617,0.358,0.388,0.351,0,0.003,0,0.643,0.608,0.657,0,0,0,0,0,0,0.969,0.965,1,0.951,0.941,1,0.5,0.6,0.5,1,1,1,0,-0.084,0.022
18.01.19,14:53:17,3,13,0.3078,0.3152,0.2779,0.3716,0.4054,0.377,0.2337,0.2405,0.2469,0.171689989,0.2224963,0.262864721,2.23196986,2.892451899,3.417241379,0.172,0.222,0.263,0,0,0,0.83,0.777,0.739,0,0,0,0,0,0,0.463,0.549,0.761,0.351,0.419,0.676,1.1,1.4,1.7,1,1,1,0,-0.297,-0.532
18.01.19,14:53:27,4,23,0.3343,0.3461,0.2922,0.3632,0.402,0.3691,0.2304,0.2393,0.2435,0.079570485,0.139054726,0.208344622,1.830121145,3.198258706,4.791926307,0.08,0.139,0.208,0.002,0.001,0.002,0.919,0.86,0.79,0,0,0,0,0,0,0.22,0.345,0.612,0.151,0.239,0.51,0.9,1.6,2.4,1,1,1,0,-0.746,-1.619
18.01.19,14:53:37,5,38,0.3387,0.3583,0.2961,0.3554,0.3931,0.3613,0.2272,0.2362,0.24,0.046989308,0.088527092,0.180459452,1.785593697,3.364029509,6.857459175,0.047,0.089,0.18,0.029,0.028,0.025,0.924,0.883,0.794,0.008,0.008,0.008,0.09,0.067,0.094,0.129,0.224,0.537,0.087,0.147,0.436,0.9,1.7,3.4,1,1,1,0,-0.888,-2.848
18.01.19,14:53:47,6,83,0.3495,0.377,0.3147,0.352,0.3892,0.3544,0.2258,0.2348,0.237,0.007102273,0.031346351,0.112020316,0.589488636,2.601747174,9.29768623,0,0.031,0.112,0.045,0.029,0.052,0.955,0.939,0.836,0.012,0.008,0.016,0.114,0.09,0.141,0,0.078,0.337,0,0.049,0.254,0,1.3,4.6,1,1,1,0,0,0
18.01.19,14:53:57,7,148,0.3485,0.3809,0.326,0.3431,0.3804,0.348,0.2221,0.2315,0.2341,-0.015738852,-0.001314406,0.063218391,-2.329350044,-0.194532072,9.356321839,0,0,0.063,0.073,0.059,0.068,0.927,0.941,0.869,0.02,0.016,0.02,0.173,0.137,0.184,0,0,0.192,0,0,0.138,0,0,4.7,1,1,1,0,0,0
18.01.19,14:54:07,8,283,0.3426,0.375,0.3299,0.3343,0.3706,0.3412,0.2184,0.2278,0.231,-0.024827999,-0.011872639,0.033118406,-7.026323661,-3.359956827,9.372508792,0,0,0.033,0.086,0.086,0.083,0.914,0.914,0.884,0.024,0.024,0.024,0.227,0.192,0.231,0,0,0.102,0,0,0.071,0,0,4.7,1,1,1,0,0,0
18.01.19,14:54:17,9,613,0.3294,0.3632,0.3255,0.324,0.3588,0.327,0.214,0.2233,0.2244,-0.016666667,-0.012263099,0.004587156,-10.21666667,-7.517279822,2.811926606,0,0,0,0.124,0.111,0.124,0.876,0.889,0.876,0.035,0.031,0.035,0.286,0.251,0.314,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
18.01.19,14:54:27,10,928,0.3093,0.3417,0.3127,0.3088,0.3387,0.3113,0.2072,0.2154,0.2169,-0.001619171,-0.008857396,-0.00449727,-1.502590674,-8.219663419,-4.17346611,0,0,0,0.158,0.158,0.169,0.842,0.842,0.831,0.047,0.047,0.051,0.369,0.349,0.4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
18.01.19,14:54:37,11,1253,0.2941,0.3216,0.2966,0.2931,0.3211,0.2985,0.2,0.2081,0.2106,-0.003411805,-0.001557147,0.006365159,-4.27499147,-1.951105575,7.975544389,0,0,0,0.201,0.211,0.201,0.799,0.789,0.799,0.063,0.067,0.063,0.447,0.424,0.463,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
