Date,Time,No.,PAR,F1,F2,F3,Fm'1,Fm'2,Fm'3,Fo'1,Fo'2,Fo'3,EY1,EY2,EY3,m1,m2,m3,Y(II)1,Y(II)2,Y(II)3,Y(NPQ)1,Y(NPQ)2,Y(NPQ)3,Y(NO)1,Y(NO)2,Y(NO)3,NPQ1,NPQ2,NPQ3,qN1,qN2,qN3,qP1,qP2,qP3,qL1,qL2,qL3,ETR1,ETR2,ETR3,Abs.1,Abs.2,Abs.3,Inh.1,Inh.2,Inh.3
18.01.19,15:30:08,1,0,0.2029,0.2245,0.2123,0.35,0.348,0.3387,0.2029,0.2245,0.2123,0.420285714,0.354885057,0.373191615,0,0,0,0.42,0.355,0.373,0,0,0,0.58,0.645,0.627,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0.155,0.111
18.01.19,15:30:19,2,1,0.2039,0.223,0.2093,0.3485,0.3446,0.3368,0.2024,0.2231,0.2115,0.41492109,0.352872896,0.378562945,0.41492109,0.352872896,0.378562945,0.415,0.353,0.378,0.001,0.002,0,0.584,0.645,0.627,0,0,0,0,0,0,0.988,1,1,0.981,1,1,0.2,0.2,0.2,1,1,1,0,0.15,0.088
18.01.19,15:30:29,3,11,0.2167,0.2309,0.2132,0.352,0.3475,0.3387,0.2036,0.2243,0.2123,0.384375,0.335539568,0.370534396,4.228125,3.690935252,4.075878358,0.384,0.336,0.37,0,0,0,0.616,0.664,0.63,0,0,0,0,0,0,0.914,0.945,0.992,0.859,0.918,0.988,2.1,1.8,2,1,1,1,0,0.127,0.036
18.01.19,15:30:39,4,21,0.2324,0.2373,0.2235,0.3441,0.3397,0.3363,0.2009,0.221,0.2113,0.324614938,0.301442449,0.335414808,6.816913688,6.330291434,7.043710972,0.325,0.302,0.335,0.004,0.02,0.002,0.672,0.679,0.663,0,0.008,0,0,0.067,0,0.78,0.863,0.902,0.675,0.804,0.853,3.4,3.2,3.5,1,1,1,0,0.071,-0.032
18.01.19,15:30:49,5,36,0.2417,0.2436,0.227,0.3387,0.3324,0.326,0.1991,0.2179,0.2072,0.286389135,0.267148014,0.303680982,10.31000886,9.61732852,10.93251534,0.287,0.267,0.304,0.022,0.033,0.023,0.692,0.7,0.673,0.008,0.012,0.008,0.075,0.122,0.098,0.694,0.776,0.835,0.572,0.694,0.762,5.2,4.8,5.5,1,1,1,0,0.068,-0.06
18.01.19,15:30:59,6,81,0.2725,0.2637,0.2451,0.3348,0.3265,0.3181,0.1977,0.2153,0.204,0.186081243,0.192343032,0.229487583,15.07258065,15.5797856,18.58849418,0.186,0.192,0.23,0.037,0.048,0.046,0.777,0.76,0.725,0.012,0.016,0.016,0.098,0.161,0.153,0.455,0.565,0.639,0.33,0.461,0.532,7.5,7.8,9.3,1,1,1,0,-0.034,-0.235
18.01.19,15:31:09,7,146,0.2917,0.2779,0.2603,0.3255,0.3176,0.3069,0.1945,0.2115,0.1993,0.103840246,0.125,0.151840991,15.16067588,18.25,22.16878462,0.104,0.125,0.152,0.065,0.075,0.083,0.831,0.8,0.765,0.02,0.024,0.027,0.157,0.224,0.227,0.259,0.373,0.431,0.173,0.283,0.33,7.6,9.1,11.1,1,1,1,0,-0.203,-0.46
18.01.19,15:31:19,8,281,0.2946,0.2809,0.2642,0.3142,0.3093,0.2887,0.1904,0.2077,0.1915,0.062380649,0.091820239,0.08486318,17.52896244,25.80148723,23.84655352,0.062,0.092,0.085,0.092,0.101,0.134,0.845,0.807,0.781,0.027,0.031,0.043,0.224,0.275,0.341,0.157,0.278,0.251,0.101,0.206,0.182,8.8,12.9,11.9,1,1,1,0,-0.473,-0.36
18.01.19,15:31:29,9,611,0.2951,0.2824,0.2618,0.2995,0.2931,0.2716,0.1849,0.2003,0.1838,0.014691152,0.036506312,0.036082474,8.976293823,22.30535653,22.04639175,0.015,0.037,0.036,0.132,0.153,0.193,0.853,0.81,0.771,0.043,0.047,0.063,0.306,0.373,0.435,0,0.118,0.11,0,0.083,0.077,4.5,11.2,11,1,1,1,0,-1.498,-1.451
18.01.19,15:31:39,10,926,0.2809,0.2691,0.2461,0.2848,0.2755,0.2534,0.1792,0.1919,0.1753,0.01369382,0.02323049,0.028808208,12.68047753,21.51143376,26.67640095,0,0.023,0.029,0.19,0.187,0.219,0.81,0.789,0.752,0.059,0.067,0.082,0.38,0.463,0.522,0,0,0,0,0,0,0,10.7,13.4,1,1,1,0,0,0
18.01.19,15:31:49,11,1251,0.2623,0.2559,0.2294,0.2652,0.2574,0.2319,0.1712,0.1829,0.1647,0.010935143,0.005827506,0.010780509,13.67986425,7.29020979,13.48641656,0,0,0,0.239,0.257,0.313,0.761,0.743,0.687,0.078,0.086,0.114,0.475,0.549,0.616,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
