Date;Time;No.;PAR;F1;F2;Fm'1;Fm'2;Fo'1;Fo'2;Y(II)1;Y(II)2;Y(NPQ)1;Y(NPQ)2;Y(NO)1;Y(NO)2;NPQ1;NPQ2;qN1;qN2;qP1;qP2;qL1;qL2;ETR1;ETR2;Abs.1;Abs.2;Inh.1;Inh.2;
22.01.19;13:49:26;1;0;0.1147;0.1181;0.2373;0.2348;0.1147;0.1181;0.517;0.497;0.000;0.000;0.483;0.503;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;  0.0;  0.0;1.000;1.000;0.000;0.038;
22.01.19;13:50:08;2;36;0.1652;0.1510;0.2328;0.2324;0.1137;0.1175;0.291;0.350;0.004;0.003;0.705;0.647;0.000;0.000;0.000;0.000;0.569;0.710;0.391;0.552;  5.2;  6.3;1.000;1.000;0.000;-0.205;
22.01.19;13:50:28;3;36;0.1431;0.1456;0.1799;0.1858;0.0994;0.1043;0.204;0.216;0.190;0.165;0.606;0.619;0.078;0.067;0.416;0.376;0.455;0.494;0.316;0.354;  3.7;  3.9;1.000;1.000;0.000;-0.059;
22.01.19;13:50:48;4;36;0.1279;0.1250;0.1627;0.1574;0.0939;0.0947;0.214;0.206;0.246;0.261;0.540;0.534;0.114;0.122;0.522;0.553;0.506;0.518;0.371;0.392;  3.8;  3.7;1.000;1.000;0.000;0.039;
22.01.19;13:51:08;5;36;0.1211;0.1113;0.1554;0.1402;0.0914;0.0882;0.221;0.206;0.271;0.320;0.508;0.474;0.133;0.169;0.561;0.647;0.537;0.557;0.406;0.441;  4.0;  3.7;1.000;1.000;0.000;0.066;
22.01.19;13:51:28;6;36;0.1167;0.1044;0.1534;0.1353;0.0907;0.0862;0.240;0.228;0.270;0.327;0.491;0.445;0.137;0.184;0.573;0.671;0.588;0.627;0.458;0.518;  4.3;  4.1;1.000;1.000;0.000;0.047;
22.01.19;13:51:48;7;36;0.1152;0.1015;0.1520;0.1304;0.0902;0.0842;0.242;0.222;0.273;0.346;0.485;0.432;0.141;0.200;0.580;0.694;0.596;0.627;0.467;0.521;  4.4;  4.0;1.000;1.000;0.000;0.083;
22.01.19;13:52:08;8;36;0.1118;0.0985;0.1505;0.1314;0.0897;0.0846;0.257;0.250;0.272;0.330;0.471;0.420;0.145;0.196;0.588;0.690;0.635;0.702;0.510;0.603;  4.6;  4.5;1.000;1.000;0.000;0.028;
22.01.19;13:52:28;9;36;0.1103;0.0980;0.1510;0.1289;0.0899;0.0836;0.269;0.240;0.264;0.342;0.466;0.418;0.141;0.204;0.584;0.702;0.667;0.682;0.543;0.582;  4.9;  4.3;1.000;1.000;0.000;0.111;
22.01.19;13:52:48;10;36;0.1098;0.0966;0.1529;0.1338;0.0906;0.0856;0.282;0.278;0.254;0.310;0.464;0.412;0.137;0.188;0.576;0.678;0.690;0.773;0.569;0.685;  5.1;  5.0;1.000;1.000;0.000;0.013;
