Date;Time;No.;PAR;F1;F2;Fm'1;Fm'2;Fo'1;Fo'2;Y(II)1;Y(II)2;Y(NPQ)1;Y(NPQ)2;Y(NO)1;Y(NO)2;NPQ1;NPQ2;qN1;qN2;qP1;qP2;qL1;qL2;ETR1;ETR2;Abs.1;Abs.2;Inh.1;Inh.2;
22.01.19;14:41:00;1;0;0.0838;0.0887;0.1559;0.1578;0.0838;0.0887;0.462;0.438;0.000;0.000;0.538;0.562;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;  0.0;  0.0;0.000;0.000;0.000;0.053;
22.01.19;14:41:42;2;36;0.1230;0.1123;0.1559;0.1593;0.0838;0.0892;0.211;0.295;0.000;0.000;0.790;0.707;0.000;0.000;0.000;0.000;0.455;0.671;0.310;0.533;  3.2;  4.5;0.000;0.000;0.000;-0.402;
22.01.19;14:42:02;3;36;0.1279;0.1167;0.1525;0.1578;0.0828;0.0887;0.161;0.261;0.003;0.000;0.836;0.739;0.000;0.000;0.000;0.000;0.353;0.596;0.228;0.453;  2.4;  3.9;0.000;0.000;0.000;-0.623;
22.01.19;14:42:22;4;36;0.1245;0.1157;0.1515;0.1559;0.0825;0.0881;0.178;0.258;0.005;0.002;0.817;0.740;0.000;0.000;0.000;0.000;0.392;0.592;0.260;0.451;  2.7;  3.9;0.000;0.000;0.000;-0.449;
22.01.19;14:42:42;5;36;0.1211;0.1123;0.1525;0.1564;0.0828;0.0883;0.206;0.282;0.004;0.002;0.790;0.716;0.000;0.000;0.000;0.000;0.451;0.647;0.308;0.509;  3.1;  4.3;0.000;0.000;0.000;-0.371;
22.01.19;14:43:02;6;36;0.1235;0.1103;0.1505;0.1534;0.0822;0.0873;0.179;0.281;0.006;0.005;0.815;0.714;0.000;0.000;0.000;0.000;0.396;0.651;0.264;0.515;  2.7;  4.3;0.000;0.000;0.000;-0.569;
22.01.19;14:43:22;7;36;0.1216;0.1103;0.1505;0.1485;0.0822;0.0857;0.192;0.257;0.005;0.044;0.802;0.699;0.000;0.016;0.000;0.129;0.424;0.608;0.287;0.472;  2.9;  3.9;0.000;0.000;0.000;-0.339;
22.01.19;14:43:42;8;36;0.1186;0.1103;0.1510;0.1461;0.0824;0.0849;0.214;0.245;0.005;0.055;0.781;0.700;0.000;0.020;0.000;0.161;0.471;0.584;0.327;0.450;  3.2;  3.7;0.000;0.000;0.000;-0.143;
22.01.19;14:44:02;9;36;0.1196;0.1088;0.1534;0.1490;0.0831;0.0859;0.220;0.270;0.003;0.042;0.776;0.688;0.000;0.016;0.000;0.122;0.482;0.635;0.335;0.501;  3.3;  4.1;0.000;0.000;0.000;-0.224;
22.01.19;14:44:22;10;36;0.1191;0.1083;0.1490;0.1466;0.0818;0.0850;0.201;0.261;0.007;0.053;0.793;0.686;0.000;0.020;0.000;0.153;0.443;0.620;0.304;0.486;  3.0;  3.9;0.000;0.000;0.000;-0.300;
