Date;Time;No.;PAR;F1;F2;Fm'1;Fm'2;Fo'1;Fo'2;Y(II)1;Y(II)2;Y(NPQ)1;Y(NPQ)2;Y(NO)1;Y(NO)2;NPQ1;NPQ2;qN1;qN2;qP1;qP2;qL1;qL2;ETR1;ETR2;Abs.1;Abs.2;Inh.1;Inh.2;
22.01.19;14:30:53;1;0;0.1917;0.1740;0.3456;0.3113;0.1917;0.1740;0.445;0.441;0.000;0.000;0.555;0.559;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;  0.0;  0.0;0.000;0.000;0.000;0.010;
22.01.19;14:31:35;2;37;0.2574;0.2338;0.3485;0.3211;0.1926;0.1770;0.262;0.272;0.000;0.000;0.740;0.735;0.000;0.000;0.000;0.000;0.584;0.604;0.437;0.457;  4.1;  4.2;0.000;0.000;0.000;-0.039;
22.01.19;14:31:55;3;37;0.2515;0.2279;0.3348;0.3108;0.1883;0.1739;0.249;0.267;0.023;0.000;0.728;0.733;0.008;0.000;0.067;0.000;0.569;0.604;0.426;0.461;  3.9;  4.1;0.000;0.000;0.000;-0.071;
22.01.19;14:32:15;4;37;0.2426;0.2216;0.3275;0.3044;0.1860;0.1719;0.259;0.272;0.043;0.004;0.698;0.724;0.016;0.000;0.114;0.000;0.600;0.624;0.460;0.484;  4.0;  4.2;0.000;0.000;0.000;-0.051;
22.01.19;14:32:35;5;37;0.2387;0.2186;0.3270;0.2975;0.1858;0.1696;0.270;0.265;0.042;0.032;0.688;0.702;0.016;0.012;0.118;0.098;0.624;0.616;0.485;0.478;  4.2;  4.1;0.000;0.000;0.000;0.017;
22.01.19;14:32:55;6;37;0.2363;0.2127;0.3206;0.3005;0.1837;0.1706;0.263;0.292;0.053;0.022;0.684;0.686;0.020;0.008;0.153;0.078;0.616;0.675;0.479;0.541;  4.1;  4.5;0.000;0.000;0.000;-0.110;
22.01.19;14:33:15;7;37;0.2324;0.2118;0.3176;0.2985;0.1828;0.1700;0.269;0.291;0.062;0.031;0.670;0.678;0.024;0.012;0.173;0.090;0.631;0.675;0.497;0.541;  4.2;  4.5;0.000;0.000;0.000;-0.082;
22.01.19;14:33:35;8;37;0.2284;0.2103;0.3127;0.2946;0.1811;0.1687;0.270;0.286;0.071;0.041;0.659;0.672;0.027;0.016;0.200;0.118;0.639;0.671;0.507;0.538;  4.2;  4.4;0.000;0.000;0.000;-0.062;
22.01.19;14:33:55;9;37;0.2270;0.2088;0.3069;0.2917;0.1791;0.1677;0.260;0.284;0.083;0.043;0.657;0.673;0.031;0.016;0.231;0.137;0.627;0.667;0.495;0.535;  4.0;  4.4;0.000;0.000;0.000;-0.091;
22.01.19;14:34:15;10;37;0.2221;0.2064;0.3034;0.2887;0.1780;0.1667;0.268;0.285;0.090;0.052;0.642;0.663;0.035;0.020;0.251;0.157;0.647;0.675;0.519;0.545;  4.2;  4.4;0.000;0.000;0.000;-0.064;
