Date;Time;No.;PAR;F1;F2;F3;Fm'1;Fm'2;Fm'3;Fo'1;Fo'2;Fo'3;Y(II)1;Y(II)2;Y(II)3;Y(NPQ)1;Y(NPQ)2;Y(NPQ)3;Y(NO)1;Y(NO)2;Y(NO)3;NPQ1;NPQ2;NPQ3;qN1;qN2;qN3;qP1;qP2;qP3;qL1;qL2;qL3;ETR1;ETR2;ETR3;Abs.1;Abs.2;Abs.3;Inh.1;Inh.2;Inh.3;
22.01.19;14:21:48;1;0;0.1426;0.1412;0.1328;0.3127;0.3250;0.3279;0.1426;0.1412;0.1328;0.544;0.566;0.595;0.000;0.000;0.000;0.456;0.434;0.405;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;  0.0;  0.0;  0.0;0.000;0.000;0.000;0.000;-0.040;-0.094;
22.01.19;14:22:30;2;36;0.2039;0.2029;0.2294;0.3176;0.3265;0.3265;0.1437;0.1415;0.1326;0.358;0.378;0.297;0.000;0.000;0.001;0.645;0.623;0.701;0.000;0.000;0.000;0.000;0.000;0.000;0.655;0.667;0.502;0.461;0.465;0.290;  5.4;  5.7;  4.5;0.000;0.000;0.000;0.000;-0.057;0.170;
22.01.19;14:22:50;3;36;0.2181;0.2157;0.2441;0.3142;0.3191;0.3176;0.1430;0.1401;0.1311;0.306;0.324;0.231;0.000;0.004;0.024;0.695;0.672;0.744;0.000;0.000;0.008;0.000;0.000;0.051;0.561;0.576;0.396;0.367;0.374;0.213;  4.6;  4.9;  3.5;0.000;0.000;0.000;0.000;-0.060;0.243;
22.01.19;14:23:10;4;36;0.2078;0.2069;0.2338;0.3025;0.3152;0.3118;0.1405;0.1393;0.1301;0.313;0.344;0.250;0.022;0.020;0.034;0.666;0.636;0.716;0.008;0.008;0.012;0.059;0.051;0.082;0.584;0.616;0.427;0.395;0.415;0.238;  4.7;  5.2;  3.8;0.000;0.000;0.000;0.000;-0.099;0.201;
22.01.19;14:23:30;5;36;0.2015;0.2000;0.2289;0.2956;0.3132;0.3108;0.1390;0.1389;0.1299;0.318;0.362;0.263;0.039;0.021;0.042;0.643;0.617;0.695;0.016;0.008;0.016;0.098;0.063;0.086;0.600;0.651;0.451;0.414;0.452;0.256;  4.8;  5.5;  4.0;0.000;0.000;0.000;0.000;-0.135;0.173;
22.01.19;14:23:50;6;36;0.1966;0.1966;0.2206;0.2941;0.3123;0.3025;0.1386;0.1387;0.1285;0.332;0.370;0.271;0.040;0.027;0.054;0.629;0.603;0.675;0.016;0.012;0.020;0.106;0.067;0.129;0.627;0.667;0.471;0.443;0.470;0.274;  5.0;  5.6;  4.1;0.000;0.000;0.000;0.000;-0.117;0.184;
22.01.19;14:24:10;7;36;0.1917;0.1936;0.2191;0.2892;0.3020;0.3010;0.1375;0.1366;0.1282;0.337;0.359;0.272;0.049;0.046;0.062;0.614;0.595;0.666;0.020;0.020;0.024;0.133;0.122;0.133;0.643;0.655;0.475;0.462;0.462;0.278;  5.1;  5.4;  4.1;0.000;0.000;0.000;0.000;-0.064;0.194;
22.01.19;14:24:30;8;36;0.1887;0.1897;0.2167;0.2858;0.3015;0.2971;0.1368;0.1365;0.1275;0.340;0.371;0.271;0.057;0.046;0.071;0.604;0.583;0.658;0.024;0.020;0.027;0.153;0.125;0.153;0.651;0.678;0.475;0.472;0.488;0.279;  5.1;  5.6;  4.1;0.000;0.000;0.000;0.000;-0.092;0.203;
22.01.19;14:24:50;9;36;0.1858;0.1882;0.2098;0.2819;0.2951;0.2946;0.1359;0.1352;0.1270;0.341;0.362;0.288;0.065;0.056;0.071;0.594;0.582;0.641;0.027;0.024;0.027;0.176;0.157;0.165;0.659;0.667;0.506;0.482;0.479;0.306;  5.2;  5.5;  4.4;0.000;0.000;0.000;0.000;-0.062;0.156;
22.01.19;14:25:10;10;36;0.1814;0.1848;0.2083;0.2804;0.2926;0.2926;0.1355;0.1347;0.1267;0.353;0.369;0.288;0.065;0.062;0.079;0.582;0.569;0.633;0.027;0.027;0.031;0.184;0.169;0.176;0.682;0.682;0.510;0.510;0.497;0.310;  5.3;  5.6;  4.4;0.000;0.000;0.000;0.000;-0.044;0.184;
