Date;Time;No.;PAR;F1;F2;F3;Fm'1;Fm'2;Fm'3;Fo'1;Fo'2;Fo'3;Y(II)1;Y(II)2;Y(II)3;Y(NPQ)1;Y(NPQ)2;Y(NPQ)3;Y(NO)1;Y(NO)2;Y(NO)3;NPQ1;NPQ2;NPQ3;qN1;qN2;qN3;qP1;qP2;qP3;qL1;qL2;qL3;ETR1;ETR2;ETR3;Abs.1;Abs.2;Abs.3;Inh.1;Inh.2;Inh.3;
21.01.19;16:18:50;1;0;0.2088;0.1892;0.1838;0.4324;0.4118;0.4324;0.2088;0.1892;0.1838;0.517;0.540;0.575;0.000;0.000;0.000;0.483;0.460;0.425;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;  0.0;  0.0;  0.0;0.000;0.000;0.000;0.000;-0.045;-0.112;
21.01.19;16:19:32;2;36;0.3270;0.3054;0.3029;0.4407;0.4167;0.4348;0.2107;0.1902;0.1843;0.258;0.267;0.303;0.000;0.000;0.000;0.746;0.736;0.698;0.000;0.000;0.000;0.000;0.000;0.000;0.494;0.490;0.525;0.318;0.305;0.320;  3.9;  4.0;  4.6;0.000;0.000;0.000;0.000;-0.035;-0.175;
21.01.19;16:19:52;3;36;0.3451;0.3098;0.3083;0.4309;0.4020;0.4260;0.2085;0.1871;0.1827;0.199;0.229;0.276;0.000;0.022;0.002;0.801;0.749;0.721;0.000;0.008;0.000;0.000;0.043;0.000;0.384;0.427;0.482;0.232;0.258;0.286;  3.0;  3.5;  4.2;0.000;0.000;0.000;0.000;-0.152;-0.387;
21.01.19;16:20:12;4;36;0.3324;0.2971;0.3015;0.4172;0.3917;0.4211;0.2052;0.1849;0.1818;0.203;0.242;0.284;0.025;0.035;0.020;0.772;0.723;0.696;0.008;0.012;0.008;0.067;0.090;0.043;0.400;0.459;0.498;0.247;0.286;0.300;  3.1;  3.7;  4.3;0.000;0.000;0.000;0.000;-0.188;-0.397;
21.01.19;16:20:32;5;36;0.3123;0.2779;0.2868;0.4010;0.3740;0.4054;0.2012;0.1808;0.1788;0.221;0.257;0.293;0.056;0.065;0.042;0.722;0.678;0.666;0.020;0.024;0.016;0.137;0.165;0.106;0.443;0.498;0.522;0.286;0.324;0.325;  3.3;  3.9;  4.4;0.000;0.000;0.000;0.000;-0.161;-0.322;
21.01.19;16:20:52;6;36;0.3015;0.2662;0.2745;0.3941;0.3623;0.4000;0.1995;0.1780;0.1777;0.235;0.265;0.314;0.066;0.090;0.050;0.699;0.645;0.636;0.024;0.035;0.020;0.165;0.212;0.125;0.475;0.522;0.565;0.314;0.349;0.366;  3.6;  4.0;  4.7;0.000;0.000;0.000;0.000;-0.128;-0.335;
21.01.19;16:21:12;7;36;0.2951;0.2554;0.2701;0.3833;0.3505;0.3941;0.1967;0.1751;0.1765;0.230;0.271;0.315;0.087;0.107;0.059;0.683;0.621;0.626;0.031;0.043;0.024;0.208;0.259;0.149;0.475;0.541;0.569;0.316;0.371;0.372;  3.5;  4.1;  4.8;0.000;0.000;0.000;0.000;-0.179;-0.367;
21.01.19;16:21:32;8;36;0.2917;0.2500;0.2642;0.3770;0.3417;0.3868;0.1950;0.1729;0.1751;0.226;0.268;0.317;0.097;0.125;0.075;0.677;0.607;0.608;0.035;0.051;0.031;0.235;0.294;0.176;0.471;0.545;0.580;0.315;0.377;0.385;  3.4;  4.1;  4.8;0.000;0.000;0.000;0.000;-0.186;-0.400;
21.01.19;16:21:52;9;36;0.2863;0.2461;0.2598;0.3711;0.3324;0.3794;0.1934;0.1705;0.1735;0.229;0.260;0.315;0.113;0.142;0.084;0.659;0.599;0.600;0.043;0.059;0.035;0.255;0.329;0.204;0.478;0.533;0.580;0.323;0.370;0.388;  3.5;  3.9;  4.8;0.000;0.000;0.000;0.000;-0.136;-0.379;
21.01.19;16:22:12;10;36;0.2799;0.2417;0.2564;0.3701;0.3304;0.3730;0.1931;0.1700;0.1722;0.244;0.269;0.313;0.111;0.146;0.093;0.646;0.585;0.594;0.043;0.063;0.039;0.259;0.337;0.227;0.510;0.553;0.580;0.352;0.389;0.390;  3.7;  4.1;  4.7;0.000;0.000;0.000;0.000;-0.102;-0.283;
